,CanESM5-CanOE_r1i1p2f1,ACCESS-ESM1-5-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r1i1p1f2
2014-01-01,6.65560853261629,6.306482355464282,6.855142018759443,6.171940294576968,6.464025932987482,6.432557225379217
2014-02-01,6.805458188545708,6.495864296623785,6.909688426947517,6.5241874525500245,6.695972051579293,6.348456599314457
2014-03-01,6.961908259272662,6.656810903157448,6.734416537609973,6.822496203849558,6.814823075954847,6.7267460706908935
2014-04-01,6.977343763644639,6.770992910418108,6.616201054908679,6.855065538561102,6.842849312257549,6.580757458906196
2014-05-01,6.815544010553983,6.586884270049224,6.372404261383151,6.4486008999000415,6.5954685440472005,6.602089737985433
2014-06-01,6.637721651216128,6.500311557796953,6.165561537051842,6.283847156736702,6.5270305725099504,6.392847155353831
2014-07-01,6.58095604774452,6.354072411649502,6.125393253612272,6.376902648160322,6.309282859173438,6.287658059080533
2014-08-01,6.491248846007643,6.206068656800277,6.264162399019091,6.353665865177456,6.249811425329034,6.278406535981475
2014-09-01,6.300248446720282,6.108556535329442,6.130026927782942,6.243127457607566,6.128385008062782,6.019156654218996
2014-10-01,6.147648744558022,6.227108984661974,6.146552041945096,6.274907609207528,6.1542383847256215,5.895565258796861
2014-11-01,6.233179127600132,6.390798323851747,6.1404858871922565,6.379004645883124,6.19073979014633,6.083551759161153
2014-12-01,6.413030841244932,6.537440063083818,6.420588691856098,6.356823994485381,6.321340845725175,6.178236383764915
2015-01-01,6.591059463769988,6.54988684107683,6.6491679754747475,6.623929483730298,6.424983425914736,6.537338089677621
2015-02-01,6.796058385634267,6.630740908968465,6.721916738036692,6.875865565248726,6.4841742200902726,6.337963530470337
2015-03-01,6.8094829092243305,6.818309154425122,6.7528341190406005,6.79995569774983,6.5626105641553245,6.526107763412345
2015-04-01,6.871964785921103,6.8757550282651785,6.775010610808687,6.9210491944055965,6.620509097782552,7.099210273211723
2015-05-01,6.580700331947851,6.794482990168861,6.325161146632768,6.605691095489372,6.6080052138054155,6.996000623435032
2015-06-01,6.3827906861600745,6.735902929744036,6.211789591332438,6.3353742435251945,6.328468572107836,6.901787785669976
2015-07-01,6.337580700272733,6.2944332274038075,6.252818087141463,6.2671362212450985,6.313481423621164,6.691285902053581
2015-08-01,6.350372640078932,6.2504393982166055,6.242677592473661,6.351017888358762,6.358376638832297,6.579555379883245
2015-09-01,6.2749545397842725,6.155393547395791,6.088818464430891,6.082288639927789,6.171119593398228,6.338763416327494
2015-10-01,6.33150444110995,6.0196696304113875,6.163550231149303,6.0956619425185785,6.13157437788107,6.176792990314753
2015-11-01,6.4218248555371025,6.3281658313128135,6.385782881858832,6.052722756859177,6.20773498618371,6.112070899215109
2015-12-01,6.563120635730144,6.596666512121455,6.60803315183056,6.501979740323337,6.369387307161343,6.1534230953325135
2016-01-01,6.723275279014093,6.893931019717059,6.714806021891032,6.7015363372224295,6.508424589289963,6.092543229439653
2016-02-01,6.884511524008968,7.026385081519338,6.87387205919079,6.713661161910786,6.617401125781398,6.233663891216617
2016-03-01,6.968740055087391,7.2076999140924025,7.0272355084588565,6.7290827152053785,6.691242490350504,6.910999590171822
2016-04-01,7.052311276400737,7.199932433108282,6.839980460251585,6.8298594729614415,6.711716481782539,6.634956789067925
2016-05-01,6.822341693842765,6.8525743085978625,6.6423968631362005,6.933698374135313,6.589886742343414,6.243910847659227
2016-06-01,6.386436363798032,6.486999781283394,6.396589350556928,6.698079953073825,6.357628408884157,6.052244112817368
2016-07-01,6.110257593379557,6.6237512968226735,6.23599017503664,6.471809238322753,6.207867061855468,6.065309518922032
2016-08-01,6.129005810738237,6.429045148631389,6.285977962250848,6.26113933730636,6.076451861644603,6.15975831892145
2016-09-01,6.0915505287438565,6.311839128747819,6.226344442518724,6.273922902066059,6.080664956725554,6.198419053576027
2016-10-01,6.254446271613972,6.391717721689125,6.225007221234607,6.315207031961728,6.024278527633965,6.103028303158412
2016-11-01,6.182404477423862,6.516155263385446,6.281819310322218,6.53140796924772,6.103473677422539,6.246903572623487
2016-12-01,6.335711055001344,6.504558362235267,6.347885746155519,6.5274405685472185,6.1804549859515365,6.597183147281823
2017-01-01,6.620730390096662,6.3732931462663975,6.316442892081442,6.874676525834063,6.346441571904026,6.721809283498467
