,CanESM5-CanOE_r1i1p2f1,ACCESS-ESM1-5-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r1i1p1f2
2014-01-01,6.414673790811525,6.1519120198198305,6.57554915516844,6.0387523602088615,6.271148576634028,6.245067259646527
2014-02-01,6.611788061296897,6.366277274182228,6.669188745330907,6.370177878485879,6.531696618407573,6.239152492696483
2014-03-01,6.719904500105205,6.474843904536969,6.537669246390151,6.612957098176836,6.605535990108207,6.5323625548231945
2014-04-01,6.732796954983303,6.556420567692442,6.421455857262436,6.676630791677518,6.631930534165512,6.414504761023176
2014-05-01,6.613429432064009,6.440906748309715,6.2825875395044495,6.351078848958987,6.443926297800063,6.461784218939743
2014-06-01,6.359848701186893,6.239446297713696,5.969066176903514,6.065657055166366,6.236405606342273,6.139409137649271
2014-07-01,6.228277544692702,6.078278512832327,5.924425603503726,6.0744522228943,6.033189942239909,6.000165231013325
2014-08-01,6.075537010954047,5.847148815900417,5.898480441498463,5.959262442355504,5.883542197086098,5.8914347616481315
2014-09-01,5.970548803612242,5.806430294543669,5.848827478390282,5.913839449094057,5.8389376627790615,5.750571127758626
2014-10-01,6.0263907777295165,6.046076019566757,6.016429739559501,6.078707744086387,6.011881030297391,5.802208237919813
2014-11-01,6.0995138682787164,6.1744114215461625,5.998265910572593,6.190908021644678,6.042893738464732,5.959096032691913
2014-12-01,6.240239369753572,6.3247486262920365,6.250025790761647,6.223739825361665,6.1643353290469145,6.090727116312849
2015-01-01,6.365335075086192,6.341583424612613,6.405405153301508,6.4058273131684045,6.2613293058840345,6.312876160753516
2015-02-01,6.596411065201683,6.475158426658977,6.5323965033596085,6.671245884483392,6.375716181426131,6.233940256524363
2015-03-01,6.6011035527140525,6.6064810217016685,6.564244529423777,6.639914240739862,6.397679173096861,6.404795148509367
2015-04-01,6.618242139174707,6.649265268107063,6.562375546812903,6.686759933582518,6.475442085065933,6.863330385122916
2015-05-01,6.4374913876472535,6.612572877104112,6.23786090907601,6.468559199301428,6.474168183266451,6.765718043467471
2015-06-01,6.130107552735945,6.4376121275186975,6.024379582625454,6.116619946432732,6.096127698776997,6.523841390598265
2015-07-01,6.063912813452308,6.01918234050342,5.987699953890581,5.9927871685862195,6.042886404531237,6.321863711500783
2015-08-01,5.958200354974079,5.8900246398106075,5.879361741839416,5.961208420955608,5.96877311345428,6.14107964591373
2015-09-01,5.949416683585504,5.848346848486501,5.787787530899748,5.789878192380336,5.877379377970472,5.969357043086602
2015-10-01,6.1307222672751704,5.906534422275126,6.005512211433889,5.94766207387997,6.009243844247441,6.029524874145968
2015-11-01,6.213251300430324,6.164392998080982,6.204423466778933,5.9396240805767,6.063148139389356,5.976906175952709
2015-12-01,6.355498981341561,6.384370735818392,6.394612767561357,6.3061297450821145,6.221536835130142,6.019113112893358
2016-01-01,6.47360271028641,6.619754907443763,6.4688569619463925,6.478487087589233,6.310868425013594,5.938611719713943
2016-02-01,6.654813529853916,6.789253915724312,6.657095363172308,6.5261987507677,6.445724902076565,6.141380105145083
