,GFDL-ESM4_r1i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,CESM2-WACCM-r2i1p1f1
2014-01-01,9.8014709987034,8.484372229824169,9.692136902071145,10.522280004636906,10.728634832091675,9.70197565030928,9.573651247985913,10.35053259856848,9.501601534893311
2014-02-01,9.045215564944328,8.235330061457706,10.098243409449603,9.727637301914378,10.267391399807957,9.095960074575366,9.521673206319463,10.54055656931236,9.718325579395524
2014-03-01,8.743369700839793,9.598100001760338,10.513701461550788,9.984479584497377,10.516470810355944,9.493636609352553,9.924637787275103,11.604125998364493,9.606441054851667
2014-04-01,9.822510610330713,10.064009894824816,11.005378389601466,9.994073195519812,10.617685972117354,10.634974421411927,11.133698703318762,11.742253734655723,10.519796264716616
2014-05-01,11.180592989876013,11.899832809299905,13.521916662880926,10.878896131266607,11.852051233530702,13.160305659047095,12.226644608470178,12.720796023705153,12.298899656058296
2014-06-01,12.244168570627215,13.283087149346626,14.84797981775844,12.130072893992438,12.985111473880306,13.70429843816603,13.941435689818425,14.9780418643627,13.812929552970637
2014-07-01,13.211804084725973,14.915739315259984,16.515561774636133,14.448570507330988,14.834896394554605,14.79647333808806,15.547749953707688,15.408695601081336,15.29712236687541
2014-08-01,14.021334262523325,15.406941095302301,15.859519205038257,15.201586143666654,16.666818414903588,15.305200104325031,15.979884668136675,16.566879028417222,15.710741231479442
2014-09-01,13.821074335461693,15.467710405044096,16.202897676587128,14.768447714632115,15.648574542324765,15.250035399454482,15.6803425056169,16.613054702109338,15.776711293089836
2014-10-01,13.353222133901088,13.884167729597822,14.365865885158662,13.174269840240015,13.431831229228495,13.1651618623903,14.095475199673176,15.519693862849367,13.678334335612252
2014-11-01,11.96480061695048,12.287046984695456,11.996433924853726,11.313274856329794,11.998944501896807,11.871051397587154,11.885070952259113,13.238122697335445,11.855973798415935
2014-12-01,9.39688949394658,10.514535583631073,10.127081820190853,9.397660207600095,11.47407638848541,10.263647690919452,10.803562759954342,12.232574410928654,9.893816260423606
2015-01-01,8.4019296362315,9.601076362170948,9.676195531781092,9.308257974940592,11.00946538386885,9.472330464581443,10.527338331399264,11.394514669483607,8.938906249512616
2015-02-01,7.737801121069205,10.098408426815748,8.745590931916842,9.601337724858132,10.301319403957269,9.477501712537835,10.681938077792212,10.499635881516532,8.92126171898021
2015-03-01,7.489540345918642,10.643393553368703,7.935052341897272,9.97037644412674,9.883583735758297,9.306941378367464,10.71383464937132,9.847079289518994,8.906946632362413
2015-04-01,8.276736703765271,11.097356470265119,9.122644620073208,11.433883356646366,9.904356859274491,10.225039761082394,11.46345035609049,11.356510928098242,8.964417855208032
2015-05-01,10.818734415060694,12.663164204250887,9.958426767534853,13.572869157597802,11.985012191152592,12.31957309005404,13.879421998062597,13.577002198980873,10.409873469998107
2015-06-01,13.415751843379311,13.703167233997162,12.553539029994203,14.613297493191215,13.188740999305255,14.36837959552561,15.066003660667189,14.816638601702905,12.189583348136935
2015-07-01,14.322513393196372,14.76244415492487,13.775850773979295,15.774206659031725,14.479389322061165,14.874015605764134,15.457502094038055,14.613233300287824,13.31505019145839
2015-08-01,14.493013677318961,15.307687860121884,14.539825662071495,16.526021467097312,14.909208432786873,15.648162840041941,16.005244899560427,16.40117205036512,13.865804334703038
2015-09-01,13.942343269255776,15.097047052898395,15.110176971065336,16.258643185683848,15.01796557926442,15.042775389903516,16.165651712919377,16.426733303391703,14.34323501176414
2015-10-01,14.539889504962664,13.228935997764358,14.415799618722716,15.425230312848852,14.089152677154924,14.725871791368865,14.54873317361374,13.962428854918878,12.792002535170777
2015-11-01,12.927871650053413,11.785607947031515,12.763961083711779,13.083233646224356,11.325558836019082,11.901906591842108,11.716718129740102,11.600647731131348,11.415767301684953
2015-12-01,10.477646398186632,10.091027916671194,11.23321729723835,11.97828001769366,9.629430636792435,9.930488441649011,10.980620557154362,10.650576875728168,10.830982361119798
2016-01-01,10.294024108242901,9.350815983716275,11.052975506104193,11.835858822142965,8.991900586950745,10.01269212532551,11.128057971223647,10.208483451041767,10.124814073341732
2016-02-01,9.594045747707076,9.521224639394118,10.472767015459112,10.754077419725988,8.545614153523214,10.362868718771884,10.963731304320419,10.032739503067276,8.955228330028127
2016-03-01,9.2091825500316,9.872602883695034,11.574055076164713,11.49857577054168,8.631388370489255,10.125068034893047,10.663342107339133,10.19505770008381,9.286417166729688
2016-04-01,9.848105418057004,10.2137698501413,11.990049161212756,12.114115312757681,9.780271101939912,9.906797634995153,11.540432023654576,10.075887513243726,10.549906920576879
2016-05-01,10.751827742601865,12.647960687534855,13.610594740487578,12.443485437095365,12.777818313687865,11.453524486033338,13.028839295041411,11.861182681004214,12.308840010435478
2016-06-01,11.832206540715587,15.424422433688505,16.119814545015892,13.991564823206652,14.545606552612885,14.095672969263866,14.189918533390234,13.99196690641115,13.855624674926021
2016-07-01,13.696911261102874,16.38689861348114,16.10823457128897,15.318731271114864,15.07153636474128,14.893024539023125,15.261471292245545,15.247997259565315,14.987522223969647
2016-08-01,14.714769301669607,16.59928617626615,16.319558634271516,16.035998686573702,15.970891270447463,15.56038247360799,16.386139233305006,15.758144848106893,15.52838225586061
2016-09-01,15.896083854821038,15.879792241759672,15.418614550786026,16.024321006357955,15.482287624160323,14.218852286006026,15.775308837469193,14.772256818029721,14.987656757147539
2016-10-01,13.211640581190267,14.142242820317607,13.810272050499625,14.944374855224734,13.149964706649332,11.757230741309149,15.232208471143153,13.841913361064046,14.151763232410644
2016-11-01,9.939235374878077,12.326316381736767,11.865181937859369,12.379799409524493,11.413632340598207,9.975868721527425,13.016626092906673,12.288394637055758,11.924172394953892
