,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2014-01-01,4.115285893772471,2.6469283465648425,3.7087157468746916,1.8465367249154003,1.114481764822219,2.2170514141499815
2014-02-01,4.481080025394552,3.016510801790996,3.7810585463188655,3.2520400162786647,0.9026762533456052,2.5800921983978884
2014-03-01,4.280500448903524,3.0098789407401334,3.7132547029845018,3.360369272943643,0.7308546743024302,2.5963850385440708
2014-04-01,3.993498996470577,2.6646903463137908,3.301705739757114,3.3285861702983355,0.5550807173718629,2.216527567174406
2014-05-01,3.1106412037347853,2.1411508880123464,2.7192644240417727,2.4608366380167017,0.18813438097053448,1.5418759547940075
2014-06-01,2.512338876605458,1.9277806899068013,2.4338052138694395,1.8341605255047573,0.1062721161377392,1.1324671719357322
2014-07-01,2.161388694386452,1.568883125659179,2.252006176130059,1.4829794800251628,0.0014653875323015206,0.7967338338109015
2014-08-01,2.0574967505549497,1.4788188340450343,2.2420204945322086,1.1235517030110516,0.0,0.5862465925850897
2014-09-01,1.914274863141204,1.4886234351774401,2.1527996062516794,1.1933607014053915,0.0,0.3904840285145412
2014-10-01,1.7226784897520353,1.7139573398434609,1.9167645020016144,1.377203731092714,0.0,0.09706880297964142
2014-11-01,1.9592321973291784,1.6167048041622163,2.7776111946865565,1.445495636134715,0.0,0.0
2014-12-01,2.55522667759914,1.8978128389537128,4.492431758631407,3.325139049744607,0.08363883948107971,1.9743882709487253
2015-01-01,3.3501689109397383,3.090762993575622,4.674050231809699,3.5723294827634824,0.6998201493452715,2.9148777003720068
2015-02-01,3.694588653286411,3.8523919707739673,4.5175128313094035,3.4322820941858865,0.9517599259785491,3.136299913618712
2015-03-01,3.641539968993904,3.709467488094943,3.847663742361467,3.4147945261432784,1.0349203228140198,3.2504458469828355
2015-04-01,3.3088272040206963,3.280604712602593,3.5150393223947467,2.590925981637516,0.7594363077445823,3.228681014898722
2015-05-01,2.635097226740038,2.768293205265364,2.9344282220862787,1.9091468118909216,0.2864647149579022,2.3342816574485634
2015-06-01,2.2844736058764505,2.5207355321776217,2.2568362317752606,1.278618744308879,0.1069945461964213,2.254021453525482
2015-07-01,2.1497361753420026,2.5061415682903845,1.4671651449685534,0.4098090318494164,0.0,2.1320241844120225
2015-08-01,2.126481312733911,2.475401790096308,1.0890183467535781,0.40966431050390734,0.0,1.777244699700197
2015-09-01,2.1342681678885334,2.2789599203815483,1.287258285016606,0.473548639079284,0.0,1.5792269862291057
2015-10-01,1.947595931668017,1.8512213568169464,1.2025021632737696,0.5840269432703603,0.0,1.0070805242093337
2015-11-01,2.0667465729058763,1.7636957949589969,1.4826470175836803,1.1516523266350396,0.0,1.3336643633725032
2015-12-01,2.7108012886314237,1.813107716748375,1.3561292280423134,1.4698797791959173,0.3685707995017145,2.4142300610537766
2016-01-01,3.5532352894323185,2.8661633870724814,2.295397352854508,3.877370708842881,1.5958100561523425,3.319085744253479
2016-02-01,3.954550293491504,3.484260150441969,3.581186974912873,4.2137484569423584,2.4771436055814955,3.2953506386317657
2016-03-01,3.813688568711656,3.2702197016260564,3.3112173854318976,3.9117030251443614,2.452220140019838,2.933130861685202
2016-04-01,3.5923092748466767,2.73194485312678,3.0478866022159097,3.3167539947640248,1.7767264793055764,2.529835064563285
2016-05-01,2.8790111979003976,2.0091731244113533,1.935476624870288,2.869055344859538,0.934738972302147,1.5580573017273027
2016-06-01,2.425520080349685,1.5128583098566724,1.052183916347173,2.722471131347032,0.3228231517626076,1.2530059119662358
2016-07-01,2.130124071313175,1.5043620477373347,0.5589794507183334,2.6547310133578903,0.10238732041840383,0.9487999703634498
2016-08-01,2.0783431326234485,1.5267669582150578,0.3785333342088919,2.615355062680224,0.06083941571759052,0.7114429971056054
2016-09-01,1.958217789418496,1.498440384258274,0.34218979778100395,2.5424983147203126,0.04558732658506581,0.6083385604607784
2016-10-01,1.808219617850365,0.7864835993342641,0.3984482974693977,2.4914133245297663,0.006865710438507737,0.6987128455377273
2016-11-01,2.0238483446126687,1.2148361797421836,0.3805639943920645,3.2320316053336478,0.15225388164177875,1.0216616941263335
2016-12-01,2.7591942106422342,2.2772626641896845,0.6310511808542622,3.97643948596839,0.8301210941724743,2.323462605967634
2017-01-01,3.6061809682293577,2.627699694844986,2.717643367859928,4.204627560553208,2.1020462315469257,2.794173808965756
2017-02-01,3.9985303736551736,2.782355348761905,4.589529928082817,3.61269042982525,2.234294568669625,3.0657900232607798
2017-03-01,3.8825965703254157,2.5801884685054515,3.8806103241002847,3.0312611668580782,2.5205246189599397,3.180960792116202
2017-04-01,3.5790612115986566,2.471877033636456,3.2762089849047022,2.673506864264476,2.0810354196690706,2.8678549963435187
2017-05-01,2.889832589495589,1.3438434724070802,2.5151734777846806,1.9472790267098337,1.5008485961825662,1.7002557691864952
2017-06-01,2.4537572047750293,0.7343328157059559,1.6268379434949083,1.3992027216273142,1.1602483928181229,0.8937555801438233
2017-07-01,2.137292055530164,0.014166006938897503,1.3391897336810659,1.2349115504621615,0.7174915273011857,0.10495236749769905
2017-08-01,2.05619120902545,0.0,0.9019828638479912,1.182094327672474,0.4217578673029368,0.07695730957706388
2017-09-01,2.06651026040628,0.0,1.1136706145703579,0.9577419800210724,0.3513942660980847,0.0
2017-10-01,2.024019280192979,0.0,1.0677432521078771,1.0442175194275232,0.4242210965504055,0.0
2017-11-01,2.2840436362849776,0.0,1.0917093991842075,1.0857561211680191,0.7095756284720774,0.060604185336983606
2017-12-01,3.023835268155384,0.21556414434268045,1.7539729046520716,1.0219054032536838,1.4503501734932378,1.3917952865171574
2018-01-01,3.74051731677684,1.856692956404834,3.7381339620725913,3.576340599448776,2.2631661237415224,2.7613795272276462
2018-02-01,4.084518154977807,2.840140913841624,3.781996932846849,4.405995350888862,2.2057840312548294,3.2805000258146957
2018-03-01,4.164808715585036,2.9203783647470174,3.626783333781273,4.512160050441133,2.5977300037766984,3.335873449681955
2018-04-01,4.1794290890884955,2.611839698135892,3.399163151218408,3.9936274980131783,2.220475980580868,3.1041376119922117
2018-05-01,3.5089555137288984,1.9514941013807543,2.874643855673076,3.0764560651107864,1.5215310019592818,2.2509368297169527
2018-06-01,3.1304690222184903,1.2600238960899084,3.0487659982735598,3.07630068341156,1.1134669379325393,1.6808020854271168
2018-07-01,2.8025321078737897,0.5658339238009469,2.811098979539953,2.6244365315878944,0.7346524527581976,1.55374117244748
2018-08-01,2.534861876953562,0.1459262893796779,2.9708626875111324,2.1797603197961952,0.482222064051024,1.3191022956463785
2018-09-01,2.3221557565300057,0.06627946826362985,2.6252177141045334,1.9989128658950042,0.3871440437533956,1.2499074168275575
