,GFDL-ESM4_r1i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,CESM2-WACCM-r2i1p1f1
2014-01-01,9.625949511472813,8.268523877732072,9.666886588602829,10.614148250351636,10.814919201492982,9.56430697876317,9.439509155684478,10.439951736657607,9.378361233479323
2014-02-01,8.928025332622251,8.031290899830633,10.130634586372306,9.719010731382193,10.315689753433182,8.971815371922053,9.425789259745699,10.63706548315319,9.723967962767492
2014-03-01,8.557654360383273,9.585356360459599,10.538682007532776,9.92727637301095,10.586111371751516,9.358559797187887,9.926687607336316,11.901431051521367,9.42687947138884
2014-04-01,9.835596285130787,10.038867517499733,11.186798587171344,9.983377331073264,10.746536310120085,10.817383384567485,11.347742429983866,12.011440038246924,10.592304232973884
2014-05-01,10.711841468624703,11.500838785412949,13.503766165876176,10.352571817492596,11.456295490204882,13.017872013209665,11.945404993122056,12.571322838560569,11.98663514301296
2014-06-01,11.073890674930523,12.121926937692926,14.009571241290743,10.950450934381356,11.848825464544227,12.713062275272494,12.848994580761238,14.11218363680223,12.829440987976566
2014-07-01,10.691828581862254,12.508287880719022,14.430821587611325,12.024735547780585,12.541490329446585,12.516290596077187,13.35701909489827,13.09993018874681,13.082059676029397
2014-08-01,10.949905456951829,12.43063824845744,12.993829341596287,12.181271259031213,13.925375704842649,12.327090824976047,13.171056749887953,13.713147280716875,12.63553298054505
2014-09-01,11.464289691353054,13.30484374446774,14.091521728434785,12.408642457173094,13.478546922179929,13.0544931348772,13.382668602286033,14.59045633989546,13.63725646646381
2014-10-01,11.866410112799876,12.594539973110926,13.10847025148854,11.773892678012492,12.037607698483026,11.72673689194381,12.791852527002067,14.493216930247225,12.225318806867863
2014-11-01,11.305700392523162,11.666201786299359,11.301151220479749,10.626442651309024,11.299717928469164,11.256616977770364,11.215384688242409,12.798538684412556,11.161123450755111
2014-12-01,8.832342886773562,10.149237993813868,9.635414103081276,8.871821481365162,11.200665846061046,9.897942088957382,10.552596495040412,12.248459596887797,9.469260058778906
2015-01-01,8.086358979780515,9.510132189522203,9.468389677567453,9.222168798464383,11.085371668335938,9.297762809637543,10.607128776872335,11.50090036431107,8.725178577502033
2015-02-01,7.345392772534168,10.24867721917732,8.54609825543942,9.478221692487873,10.339141004971887,9.398305589383805,10.67834140875234,10.589404561953906,8.792740716399667
2015-03-01,6.9327595732636675,10.7529212714625,7.686101526637508,9.935336507750193,9.774465742372618,9.149947461096293,10.727952338938163,9.726958126133452,8.755684686236942
2015-04-01,7.859037484061631,11.297398919163776,9.052344955849671,11.423090094888634,9.895986821172034,10.323793204044447,11.862904809669844,11.628374191156453,8.870743103028234
2015-05-01,10.35810601529006,12.489711976556578,9.396377420069145,13.373325991351381,11.56578524401767,12.076008556492386,13.792894793203963,13.47553985505865,9.868371466287117
2015-06-01,12.270843473576225,12.67158373862194,11.379370596913743,13.69317999917334,12.123051713303886,13.47631253084019,14.262400633127337,13.98285926297286,11.01213390008536
2015-07-01,11.9681361218298,12.44549214199001,11.377262385926073,13.655771475130393,12.006691851280609,12.543006419184985,13.23770250432147,12.302166130816618,10.862532761340974
2015-08-01,11.422998433424327,12.319620478345518,11.487929154530015,13.690477779347106,11.862928009316368,12.605430322351616,13.136977108961027,13.53583814279834,10.741967315481013
2015-09-01,11.567952670549507,12.859222495027252,12.869311688322036,14.293007676841242,12.68515083821877,12.736155848465161,13.911791495987314,14.372753048252967,11.991973082044085
2015-10-01,13.307041660027954,11.702552886202602,13.122763661727527,14.397341452793246,12.769949484508775,13.620533041607935,13.308865195745096,12.56510443561349,11.272444598230146
2015-11-01,12.460335072843163,11.12107077683048,12.300307451814925,12.772775382863806,10.55699734794098,11.327516704715748,11.060078418650534,10.898944024281716,10.774870801198022
2015-12-01,9.86730866033688,9.697787873136216,10.939580015289366,11.855882000299545,9.09398979474852,9.597564557184043,10.702606499192152,10.298813888638204,10.555126449257516
2016-01-01,10.24631793044338,9.138680359892273,11.049008477692864,12.065653590347214,8.787561095990432,9.974279523417644,11.33639330836123,10.2024721628123,10.162710619570483
2016-02-01,9.60579731700509,9.283836420885164,10.543243372740708,10.975838420948145,8.339010970580949,10.501576115256324,11.13548550938718,10.05427458883747,8.878647011306219
2016-03-01,9.04092836749184,9.706466365554348,11.72480293170871,11.82637076696691,8.425877823881995,10.145850825865763,10.555840354320118,10.229885884465237,9.12623238581544
2016-04-01,9.832754881340094,10.251557595689984,12.318584379714494,12.542867084654185,9.761016848334267,9.872206233494053,11.801696252141154,10.026510526606867,10.595149002042497
2016-05-01,10.270736965679433,12.520285610770006,13.54647743972239,12.21481245263341,12.550874681488967,11.005040573072273,12.650330395842042,11.540572323641136,11.99255641532276
2016-06-01,10.535678267592887,14.82843738759138,15.585412031548305,13.033764311492664,13.530347241791807,13.093615326611207,13.238372485302492,13.01852602226928,12.815644391358264
2016-07-01,11.295562100729528,14.16199419860583,14.02147601291923,13.086981067238035,12.771726043272855,12.545618429095507,13.084280332516107,12.90005728053324,12.62111834872301
2016-08-01,11.699644047246144,13.751940588124027,13.423682032071047,13.1006810365874,13.13347079800963,12.552171207643195,13.621539772085807,12.787869426699196,12.452309274235892
2016-09-01,13.909537661434774,13.726519126153667,13.21088344082043,13.935724677319536,13.316188142036935,11.717232311924635,13.641050788774367,12.518177461264832,12.668548329323336
2016-10-01,11.837864152763295,12.823619596570135,12.380004411795369,13.762798401399893,11.664432022846393,10.030996764375928,14.064881159079587,12.463289978420088,12.899440030557878
2016-11-01,9.03690752123376,11.802821921327613,11.170732909813713,11.847586684976859,10.781338534122256,9.043565888892788,12.581982719802852,11.7732649170773,11.138910113499277
2016-12-01,8.63274508021739,9.967440240656952,11.081916550196702,10.18276985460093,11.073572731961004,7.781582904086955,12.287096658279438,10.281449819689694,9.859139192733645
2017-01-01,9.488889386748301,8.511838242720957,9.430547231166344,8.721013055571643,11.003142844383532,7.338432283659299,11.799970036424027,9.343269883438175,9.510699001551169
2017-02-01,10.25222216923323,7.96412448281546,9.094692726470194,7.685978451944591,10.609590905882436,7.747700305298506,10.726793371790516,9.570289587525355,9.88299804705124
2017-03-01,9.808242916940591,7.421105846878244,8.29280385185681,7.845469986437298,11.182200671578453,8.846887473530314,9.163595720358911,9.470300341614248,10.79383290630141
2017-04-01,10.928310635314986,8.198181870218644,8.837129139511482,8.712792245480586,11.330778107720047,10.044614567822276,9.088851614555438,10.44663342279741,11.768974734826108
2017-05-01,11.460190304622504,10.28824530916408,10.499126884356057,10.505916721616039,12.894587228807756,12.405972904909826,11.50430344527966,13.515241525044155,12.850711893509162
2017-06-01,12.789317972897999,11.21417510383704,12.075193606807561,11.61053689819937,13.647225152622356,13.079281211283623,12.895240580341325,14.260183655065555,14.862989099109042
2017-07-01,14.225751686624427,12.478506194972374,12.369003428218381,12.03087302343456,13.4225379141089,11.967914723094735,12.764092986457296,13.506735498667453,13.547449715811423
2017-08-01,14.578050679544914,12.422133762446542,13.27028879530898,11.527748718999696,12.069059842111564,11.124234758862784,12.774458918672993,14.514946498943665,13.338713096067032
2017-09-01,13.610236377161383,12.403936781894126,12.431484808482333,12.995593773380618,13.349608343631422,12.286897075617,11.97614412212687,14.542412805768215,13.270084773045847
2017-10-01,13.715188914609747,11.406085173407785,10.822411400570743,12.17968071494418,14.102303174517822,12.125505466438598,13.574182005108087,14.76517459474563,14.009175139556454
2017-11-01,12.345659683948178,10.341243510485647,10.345084552940557,10.651145202604873,10.398330530505326,10.080098152070617,12.100237068714867,11.220520228441927,13.3599939640539
2017-12-01,10.454306668209467,9.38574458421502,8.706112759578238,10.211180170261217,9.728246219568168,9.737577710600057,11.29664768050936,9.098879127657113,11.443573623272504
2018-01-01,10.08677755938048,9.067505045376484,9.213436720762985,10.742924811772882,9.47890504390312,8.859004237390531,10.887249642939231,8.743518964747668,10.398118005990074
2018-02-01,9.907777557059132,9.054098127496074,8.675133956388706,10.833558559723883,9.918122479058198,8.390106580199282,10.949602581551133,9.482896617004494,10.188262977406621
2018-03-01,10.972133950974927,8.791524889117216,8.879202145238215,11.373593875998594,10.688956822065796,9.513237796654108,10.533698459585981,10.574804755366324,9.979663528447878
2018-04-01,11.362049996564545,9.709117610933387,10.203518601009048,12.099972959718421,11.305816242527888,9.75878475073167,10.853233675953549,10.653737364240703,9.232849592398804
2018-05-01,13.594545175663034,11.195639442315056,10.873842575540293,12.439013074944578,12.02028759521617,10.94204454710051,12.231352491123607,13.223650554670145,10.330405151282097
2018-06-01,13.249520785405442,12.870281786591786,13.850064157411635,12.850126868243695,14.112774391969767,13.158035853663812,13.398994946148086,14.839459123634336,11.714567388187975
2018-07-01,13.983807038175904,13.245559111351257,12.814009616143766,13.144171618712251,13.884650804867947,13.27138809235209,13.20390803446065,15.1195802851388,12.39069689133298
2018-08-01,14.015672861459208,12.949077616806711,12.15821063880943,13.820203908229391,14.32372156918207,12.959951340286596,13.292373329268012,14.576171668906893,12.469305192727603
2018-09-01,14.728560510452914,12.900158129331766,12.836760420533473,13.295244457645829,15.397323599380044,12.645352066326046,14.211380466707695,14.431132374509163,12.600798595258489
2018-10-01,14.536018143107706,12.319144763108339,13.331664347654126,12.539582968587382,13.863928516405725,13.072992667331452,13.853741912225885,14.845676612549159,12.09801978196897
2018-11-01,13.995126541462948,11.566278646785385,12.044890224555447,12.060974942634651,11.503756338079851,12.025759079653193,12.976546896779926,11.708504041627734,10.395630936578552
2018-12-01,11.954156700660135,10.439723911223746,12.086901712709533,10.865731886381118,10.200372039562343,10.399242156316395,11.798045179551144,10.144001568157325,9.978936113643137
2019-01-01,10.769718126839011,9.906146496088393,11.927118513332156,9.716832356085078,9.442779954902953,9.151323604906988,11.182189505137897,9.593479164691972,10.145641449197202
2019-02-01,10.154995657458915,9.618030250138233,10.120337873049357,8.559450539373055,9.57314036538744,8.63273238095497,9.937713176716997,10.48221982570068,10.016509857820786
2019-03-01,9.715433706846813,9.211746087966649,11.49370479482085,8.676501582704935,10.304109530366537,8.605122378352199,10.736362530498127,11.008819111418394,10.804583827773927
2019-04-01,11.193929371813633,9.695990264737203,11.260929576685893,9.211193331201146,12.10166970929606,9.209175293825123,12.58644891457759,10.652932521867648,11.49643271048744
2019-05-01,12.712072072785569,12.988119375335856,13.72524963942331,10.67928789431988,13.57717480993531,11.027590220782884,13.145474962214287,12.522063287293378,13.115638259924069
2019-06-01,12.806852126451554,12.858045624110625,13.912850261810368,12.569340741141586,13.424404781497586,11.402855600324125,13.952459375003366,13.668632950311482,13.610758347909623
2019-07-01,11.35969782076036,12.927638509417887,12.891873420723893,12.829104945997855,13.840241537599676,12.462030241094244,14.471399550910268,14.293818537128784,14.07019390236418
2019-08-01,12.959059638519877,12.770235683183264,11.566052800526526,13.322668688835444,14.075759479160359,11.697986008416756,12.969412938236106,13.924408680252292,14.030758529839398
2019-09-01,13.733931537714255,12.886712505237075,11.823569233354466,13.602675456572886,13.503756350993974,11.814728061080586,12.389140010977275,13.56308142271142,14.090948281567053
2019-10-01,13.905807040095716,13.036230288086893,12.42804631917503,12.793075619412422,13.725222806423009,11.676973803766534,12.309561587167936,12.975398128701727,13.187481143492283
2019-11-01,12.127709042333937,11.520923327617915,11.076606686566118,11.331802547140706,13.347516164965697,10.4760032841087,11.060447335696033,12.023253585927069,11.16073991462035
2019-12-01,10.402742378345817,9.308766082077216,10.528409012684856,10.334601204763,12.155100597237565,9.003423196068177,10.284799808435961,10.407340358104246,10.740386558083825
2020-01-01,9.47915385887032,9.50779422096924,9.939799264064641,10.382845607049683,11.421587601503697,8.708071510257895,9.763233440735444,8.484121490291562,9.724048646282041
2020-02-01,9.215997574222326,9.662490597909438,9.809943881168213,9.551959515538744,11.3299895792237,8.281993608450216,9.106538126172731,8.425664619499996,9.396431157131579
2020-03-01,8.58535080779966,10.258651435392927,9.443674025088898,9.032879041336997,11.547515975975196,8.284489115342135,8.985296142420003,8.719110320006328,9.193281254661157
