,CanESM5-CanOE_r2i1p2f1,CESM2-WACCM-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-CanOE-r1i1p2f1,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,GFDL-ESM4-r1i1p1f1
2014-01-01,7.076682393151122,6.94723432676652,7.27340179801933,7.1610914602401365,7.394230741415759,6.383130674776362,7.686769411222317,7.989912256396932,7.49610547884474
2014-02-01,6.9600268411462185,7.095002582409121,7.407647739489075,6.752053266532867,7.095778163868313,6.0946366543192605,7.302021606555297,7.7835865986039945,6.635063614873242
2014-03-01,6.896738342146912,6.803475342878523,7.3577604979011335,6.6036831415085695,6.9620674762739645,6.218541605418566,6.963428366419393,7.490865516227938,6.117705203178725
2014-04-01,6.588517015453006,6.455703521167193,7.076303443905532,6.4746633810982015,6.852766290666902,6.059912389958644,6.6612897188858975,7.209841162659267,5.872604139253701
2014-05-01,6.4252287804880055,6.320808734112497,6.88309179537835,6.395659059598402,6.705571217788477,5.925625270560408,6.3948262014475095,6.960397907049259,5.743301490472897
2014-06-01,6.329510533413056,6.42414478725224,6.748067980789357,6.32571072650466,6.772774609240496,5.9673111756474615,6.306326522271116,6.779938108565009,5.609119372016152
2014-07-01,6.472601667505107,6.6104896104172575,6.832663524394526,6.483610880766296,6.8269667974349915,6.160919543613932,6.403665464686003,6.820061285570268,5.779612713484658
2014-08-01,6.773214185613487,6.733665909029659,6.978035262346176,6.765559413813118,7.026974587212832,6.416613203627738,6.628964096212617,7.168397684336744,6.310677746279449
2014-09-01,6.960454537918996,7.1371016763579105,7.12790697341166,7.01074632895978,7.270446347249955,6.654663171193758,6.656546080837059,7.36971551267316,6.420856540461454
2014-10-01,6.952182058192178,7.193646145080768,7.161019660527152,7.0484527112742015,7.448219952642716,6.962211730259732,6.684687602449476,7.510543030362093,6.596027472576194
2014-11-01,6.8025379377612065,7.194326953513813,7.356948094441602,7.137876360009887,7.526861579512651,7.0818907480918964,6.770752304996729,7.6348647140689465,6.846540886377005
2014-12-01,7.227272554894661,6.844412552888143,7.833216016286203,6.9724070352054985,7.330488286401183,7.466904266176832,6.617598010245782,7.807091747012906,6.9472613416011
2015-01-01,7.516246953740735,6.644680776691551,7.829130882420663,7.014118102054268,7.257124009207917,7.136160227772026,6.977959657832107,7.806558148787606,6.135591668508672
2015-02-01,7.437435272178953,6.437034153440968,7.236880112291082,6.744931498425246,6.578539735969947,7.274870552759273,6.905843804279168,7.529530549130431,5.943690385371655
2015-03-01,7.27408399653704,6.229646958066871,6.86570465190557,6.467107585560693,5.749581474515938,7.234524721126919,6.689945566667787,7.1647517737779225,5.678098167899511
2015-04-01,7.016081181887273,6.014324530719078,6.433995118575332,6.271647812630827,5.4858468466275925,6.965667982131269,6.5718406510910095,6.802737266656381,5.30493750011772
2015-05-01,6.73870007993765,5.798134483598293,6.193468199171409,6.090524792412728,5.509985530618853,6.670019503237268,6.503974332305362,6.685251641191357,5.298817341044881
