,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2014-01-01,5.728532078264241,5.872278961963934,5.713151883346901,5.4279007445739165,5.770425187361157,6.1759991485074925,5.220882559873246,5.973687829290043,6.27433874168171
2014-02-01,5.594718054227967,5.6830986021070276,5.744926503908169,5.266624077551877,5.5351837487176505,5.824114041007673,4.993218233070179,5.277529519835497,6.019375182993815
2014-03-01,5.419059857323773,5.588330908484249,5.728960608890192,5.114802623643227,5.516294742377758,5.4606458283648065,4.952717732849349,4.869218723695206,5.885073789190204
2014-04-01,5.2934787929054785,5.432733694620682,5.577845409989921,4.877274782395791,5.449960986639726,5.3477344684486665,4.966951484865883,4.585344482995242,5.64942071171312
2014-05-01,5.258223086223064,5.346012916437238,5.525497121565375,4.952438137153437,5.519385975024929,5.127024988394492,5.016927238638847,4.489771607241642,5.429467652485739
2014-06-01,5.338880595002906,5.239196961571258,5.490794401911742,5.08674637517282,5.563589317857321,5.1424543079328,5.092041748868821,4.653633528714857,5.355953894510826
2014-07-01,5.556367207428178,5.53179838861349,5.662053250680415,5.300984255037951,5.6906520665046125,5.439623156970876,5.318119396197779,4.8989093405583155,5.4927670636024875
2014-08-01,5.779520407461625,5.740433311730027,5.851934004731209,5.619062797121322,6.025818450373949,5.617374711455937,5.658856790944282,5.1356782584735585,5.740176388785221
2014-09-01,6.145955180006162,5.82669829850596,5.928371250514848,5.623487158044528,6.1279116909311995,5.61322336219121,5.704730742160987,5.142552574721716,5.961099967650034
2014-10-01,5.9085947820566975,5.908993172114985,5.907227101772546,5.629952739572014,6.147433772908831,5.516922037098608,5.7870439428071805,5.374176391251348,5.9686695785765504
2014-11-01,5.820208564450533,5.745535870194134,5.894586429736194,5.502114603741663,6.05452226389228,5.5723954669111935,5.728782183043058,5.622416782970097,6.048224917118635
2014-12-01,5.643389585729407,5.948540920540959,6.154699185019113,5.529183858165611,5.77455224109853,5.399254886468485,5.849804388084017,5.520394232052254,5.998012572166619
