,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2014-01-01,9.960033426928096,10.162964822994994,9.876859518312019,9.978311013862042,10.262910912204042,10.994646315787008,8.466337896607183,10.702191430199528,11.306912245195782
2014-02-01,10.008121114068818,9.962247306254627,10.231060404521498,9.560280679711155,9.961925979872523,10.451190037881775,8.14206116264948,9.5192594063399,11.056234570003214
2014-03-01,9.545248767114993,9.798718519292477,10.261051799008312,9.1995937823569,9.926729751325194,9.757601264950786,8.166904117152571,8.582525768386496,10.61137867024398
2014-04-01,8.911448085543313,9.202128186013477,9.653859168894646,8.694094323789612,9.45587971275855,9.082662704017256,8.017612524414522,7.853969061994642,9.967533781719743
2014-05-01,8.270534591218864,8.405428202121428,8.918264889817243,8.114140024887684,8.860440917974321,8.355172926025054,7.4044864837578785,7.284220335743258,9.177126356577226
2014-06-01,8.123085220258575,7.902390570459763,8.458213022453714,7.783862597954393,8.499577906220736,7.836902695602362,7.123154866850491,6.812002934007619,8.55074654870649
2014-07-01,8.003627804373062,7.808983906392948,8.162825517246343,7.76380947425763,8.32374570549951,7.682477712643354,7.0894460435256486,6.730113252356602,8.219718160873944
2014-08-01,7.6261992973550035,7.7743682402297125,7.937040319862528,7.625660995916821,8.169172730287224,7.428171338784707,6.952717868796984,6.781228793445266,8.13525983277421
2014-09-01,7.988732809823022,7.712181390867382,7.777417502184192,7.514327999254102,8.06155293161319,7.115929015645088,7.02816149541394,6.668073046515538,8.154133693861077
2014-10-01,8.035491515722898,7.70655952518508,7.86875301737297,7.706607284836781,8.530120000878293,7.06204534270272,7.526111832084954,7.212920705857023,8.54048622183433
2014-11-01,8.709224098007091,8.138922050838183,8.865561845701045,8.45188398149571,9.220993305535947,7.833054343757801,8.205562803014956,8.379248054138753,9.39309990826275
2014-12-01,9.258872668391612,9.946736724236851,10.447116874844305,9.357339760967497,9.736668206554182,8.629932087981029,9.78216961282959,9.327931904425217,10.592459134933415
2015-01-01,9.0721029689698,10.742715083651252,11.001656604278514,9.59178894447546,10.090602256732732,9.626048142297114,9.639751853251793,8.169836385895588,10.91950479044493
2015-02-01,9.139561583892878,10.147422115088172,10.908977410691273,9.476053373472423,9.454791327427046,9.836722643930543,9.018936176534744,7.417681492520582,10.660167806115515
2015-03-01,8.5793183079089,10.226684919658133,10.784167896417761,9.091188571476957,9.233098510522607,9.625152398527305,8.687438409573899,7.3366794947337,10.11103626553689
2015-04-01,8.060951291241063,9.650988623504556,10.150542339061824,8.450180975435739,8.762822384802423,8.911122423947846,8.408670323018645,6.89349366494899,9.407004232208687
2015-05-01,7.377497295423415,9.033349377036341,9.238847120684747,7.646400550579997,8.090227708981251,8.314608391121006,7.849497820623625,6.290616065377705,8.744388262286252
2015-06-01,7.126514073694526,8.572640352894599,8.497187783788112,7.393195228886642,7.754877500274383,8.043454317209836,7.622159209665539,6.087182747314742,8.263433107850421
2015-07-01,7.161280597451472,8.331513550667276,8.03845046767892,7.350750900069006,7.672637236256517,8.003165534160361,7.500765435674237,6.394038521739327,8.054814102701561
2015-08-01,7.0392928986373375,8.102715860584524,7.657828884508921,7.303957263502196,7.694442843069734,8.083533588551276,7.328680795882933,6.48764088915958,8.079175909101727
2015-09-01,6.879637350716045,7.9833440754662774,7.309357451398294,7.162661315484978,7.8316415133398065,8.572302247923476,7.194931223365862,6.62757638142979,8.038579720123884
2015-10-01,6.79897544027515,8.13295935030952,7.3680795525260425,7.399616834071478,8.33755933173039,8.658742133541326,7.455924875690558,6.596179172067728,8.17687133034291
2015-11-01,7.803321849518743,8.990484441815953,8.142275044129315,8.145892693212085,9.474412922221099,8.600545519771769,8.632734714134125,8.038112089855426,8.932632059275855
2015-12-01,9.22154430875154,9.08192777874408,9.351496539679614,9.084161189724632,10.659311496561124,9.474240112431293,8.877269284280707,9.583639360530883,9.980097629104641
2016-01-01,10.182705965541462,8.359691147627021,10.341931357814566,9.380083148497356,11.566537495843036,10.066733272965658,8.774550555315834,10.12092066889633,10.382508005791562
2016-02-01,10.324000858982023,8.144443217312316,9.863687797496699,9.048206014645604,11.106150999476542,10.475377848328506,8.528321710588427,9.402301346727038,10.129211083297017
