,CanESM5-CanOE_r1i1p2f1,ACCESS-ESM1-5-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r1i1p1f2
2014-01-01,6.562135684931433,6.275217734303652,6.707840425044182,6.1116151350832855,6.37433764521402,6.307834063458841
2014-02-01,6.756324025871872,6.498203565219308,6.777170041178527,6.500153420802307,6.676546416062641,6.3035968423464475
2014-03-01,6.88601577237182,6.62535389706753,6.719191008884144,6.777682891962821,6.751599230858935,6.655511160019511
2014-04-01,6.907077201300923,6.700301074302473,6.579022767920808,6.815529124194918,6.784298518293441,6.529939269482198
2014-05-01,6.780824001635293,6.535958145830199,6.329959621650716,6.438253002572628,6.533771463587866,6.529837409400055
2014-06-01,6.578752317540082,6.390358308638941,6.083398835670799,6.169391700764514,6.33908869301181,6.229015793524166
2014-07-01,6.5160391863110485,6.319785477639477,6.1738195898749675,6.342409839036884,6.235223649757043,6.243655609377217
2014-08-01,6.484397091362972,6.201855870354542,6.272873612539557,6.34870204834958,6.2360953346514405,6.285171056813817
2014-09-01,6.292962990557848,6.119364221932057,6.144251427386365,6.255053491023028,6.138113207377398,6.070409762115879
2014-10-01,6.2193758140666064,6.230118641811749,6.189896433732343,6.271443325628956,6.174395272187103,5.937588566104847
2014-11-01,6.218217924145911,6.271234071839802,6.076384014297878,6.338803338208822,6.1282437215343535,6.011374793462153
2014-12-01,6.352364729423704,6.4382018771705365,6.331453327356738,6.277367206999352,6.243438183927527,6.1281292561952485
2015-01-01,6.493471181372204,6.479545824070617,6.499188993496193,6.538786615051371,6.373485842398227,6.490680742314584
2015-02-01,6.732969203620815,6.6286558385387835,6.701066993946445,6.7697210886099946,6.493042857331747,6.267086439793982
2015-03-01,6.898102357019055,6.691057739445277,6.740893411317086,6.791216521049348,6.664524123954608,6.942816104617801
2015-04-01,6.9083322597359125,6.701867179370246,6.576362886968727,6.790802400221341,6.688614712973014,6.909854784193808
2015-05-01,6.687910121730582,6.486929940714442,6.330850576689394,6.615643944395022,6.380107074265781,6.576034173495015
2015-06-01,6.381158134307027,6.162833661504048,6.143456967599999,6.249530277974571,6.143778871523176,6.489472238249071
2015-07-01,6.4614389773573295,6.153062164897372,6.121712853722732,6.192346541108012,6.049682479756438,6.50418254551968
2015-08-01,6.458623023948668,5.9992529003779325,6.184045839121481,6.178882612640152,6.049832030667262,6.408568728102463
2015-09-01,6.305883920552598,6.027247737687472,6.1556121407689846,6.032257668097187,6.037503793737987,6.1495753606027685
2015-10-01,6.177374035213739,6.066370072041768,6.133964123798852,6.1421661852543314,6.103499001295774,6.044902975355402
2015-11-01,6.2438294977086795,6.059781766181537,6.167254561458122,6.062359343988004,6.102307065032553,6.172377792144993
2015-12-01,6.4056320889672325,6.148986752433863,6.2227119620492175,6.563743743349353,6.2383123408848205,6.454173987376488
2016-01-01,6.696063563953719,6.251170122974379,6.5045256564173615,6.8510572796314335,6.4304382706153405,6.545935095297051
2016-02-01,6.911183388908943,6.450325759530064,6.828582600880775,6.9015439938024965,6.649562426949657,6.5250647642141395
2016-03-01,6.998916894640122,6.622671852447543,6.875262258031363,6.980873353588248,6.8513664018027125,6.746232542583175
2016-04-01,6.9963599680082185,6.673271774869437,6.821063726149464,7.010442527766203,6.972265632152512,6.583284784715371
2016-05-01,6.961979561397414,6.344319701638362,6.800345565448652,6.905358560252918,6.732252724544956,6.338306511658421
2016-06-01,6.583279473833027,6.183749557493307,6.512435032524266,6.650193647438967,6.592724608852855,6.296497139910102
2016-07-01,6.6439963758307465,6.174498885708663,6.484991244448931,6.38505152829438,6.658556547640406,6.210578534658473
2016-08-01,6.5178704456433225,6.1639047705114285,6.496670735526795,6.525686210949073,6.452139637518852,6.123832426005244
2016-09-01,6.419408515580048,6.065139378024763,6.308746333065198,6.4023074917524685,6.312146872927759,6.085502863111689
2016-10-01,6.3879416445567445,6.113506476886194,6.15497363180764,6.456507083752428,6.228907000406747,6.288848822052164
2016-11-01,6.434047578263925,6.206301372056773,6.237465002078397,6.428438200386044,6.2069178222831844,6.252241552168845
2016-12-01,6.485932601358787,6.274537461131594,6.382591251350084,6.636425815879727,6.4244340311626065,6.454531528709697
2017-01-01,6.6756584467765165,6.6228414321291735,6.550671964853574,6.876182810332785,6.602250747774693,6.536183827569204
2017-02-01,6.832952461272124,6.633384067294087,6.649295615500993,7.1581463159859595,6.803410636726817,6.985247546627335
2017-03-01,6.935859515250916,6.67042581758098,6.618048802019497,7.187074048952717,6.816698422955536,7.167080863626071
2017-04-01,6.860923480035126,6.628016427812415,6.353592003724498,7.018761042079492,6.75236980411243,6.94605267322693
2017-05-01,6.5545538763909565,6.329006111415015,6.193011309521612,6.645994578229227,6.585649419813638,6.819564542435792
2017-06-01,6.478866243366699,6.233658703729005,5.947841361459575,6.419668515663779,6.52888789374699,6.604413759357779
2017-07-01,6.58059567663659,6.14812992162189,5.877890595755023,6.49485740470432,6.448583869315701,6.477501834198339
2017-08-01,6.5104041538900495,6.330590551131692,5.9695417611768615,6.526289280474683,6.1988532832369625,6.2580595213347925
2017-09-01,6.2517791821834585,6.336769802840951,6.114995574418707,6.2938536140974035,6.189912353080282,6.198459492516995
2017-10-01,6.2544283422133775,6.293543914672303,6.1562067717347135,6.319563365849889,6.084634075303688,6.259097016501418
2017-11-01,6.310556647258996,6.314686092558948,6.208682459716084,6.186283578858894,6.031877391266557,6.190517130823527
2017-12-01,6.522028271190554,6.35609080606899,6.459749657900777,6.307846359364422,6.146842666109457,6.49757071168267
2018-01-01,6.613048116059827,6.437388858839411,6.556231881457419,6.546594104953207,6.332561412403408,6.663784365677398
