,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2014-01-01,7.208783922403573,7.339921753069098,7.10626763300755,7.102720710323503,7.313140923063508,7.748336966104173,6.287230327390245,7.548674871420653,7.876275205659692
2014-02-01,7.1215714842436375,7.131637493068702,7.236810963336112,6.749035121852247,7.029216710565118,7.329567255317949,6.00904406414533,6.720671121065136,7.562722104901425
2014-03-01,6.799458973967396,6.986150975284548,7.229358312666742,6.564982115409937,6.919929948834442,6.891344818630959,6.2087229970232425,6.107781304141147,7.361491437683628
2014-04-01,6.5064943769604495,6.6924355469900325,6.95642464725309,6.396123379978329,6.760448427464758,6.608997616921713,6.010641761878572,5.868978021627862,6.976078022895922
2014-05-01,6.388257604101861,6.507316122492442,6.706587933361819,6.2518189678174565,6.7087278861922135,6.437180585547732,5.847751675767619,5.967540169550184,6.725990033647262
2014-06-01,6.47121997907173,6.373254581709478,6.662856422937338,6.26318532966464,6.73533895051748,6.339544314580997,6.10717754088747,5.6028260508218315,6.652233179194619
2014-07-01,6.6286148673938445,6.523242286173312,6.7281416139550005,6.4664173285886655,6.792444557694764,6.4855952298515005,6.192055350293293,5.808395067015122,6.690536392033377
2014-08-01,6.765253074372008,6.781978512421424,6.9588341539668885,6.739840966739893,7.019591319060755,6.670800741119517,6.474060069353622,6.355564360466862,7.073534495299448
2014-09-01,7.113292548811756,6.975755478356053,7.109167150137001,6.8522231393680135,7.2874700713577365,6.6655174085976165,6.6680976798243226,6.522613078470354,7.245369575350118
2014-10-01,7.191937042766877,6.899377631527728,7.112978203957223,6.944629038477374,7.4425556212570525,6.648273643682329,6.84939273964307,6.709716365547197,7.397601462487906
2014-11-01,7.2389147625167665,6.796964261558312,7.3118634249656775,6.980606677778102,7.432806997608763,6.719525313811481,7.0108782304097375,7.0181233996161545,7.517875535639585
2014-12-01,7.110717458529615,7.449586726986128,7.689242984559917,6.992269418442013,7.255867077838078,6.630169725504402,7.346203207948017,7.07386556188856,7.713106076582783
2015-01-01,6.7749499156651565,7.6285700501716756,7.799994543909625,6.787203857984697,7.218568699430789,6.9368717392331805,6.90495744349334,6.032123613033546,7.663404278921655
2015-02-01,6.604344318717837,7.2548458827099225,7.561784800370416,6.615125385306612,6.653846136860999,7.022046624312482,6.588996499599942,5.6227722646515135,7.357660152449958
2015-03-01,6.2668512615541445,7.159373933669282,7.576024196601491,6.449340249871192,6.476597889693577,6.8500189451548446,6.383815108776357,5.518407251262615,7.014675747181659
2015-04-01,6.0412616666048695,6.956033044012552,7.2893324865236835,6.20281934930933,6.3406355994629875,6.4836804132638015,6.162754203762307,5.315204245093881,6.76608718903998
2015-05-01,5.888500205572695,6.813493471790231,6.90041326919037,5.884839826395343,6.211558445945657,6.396053095527322,6.050945412767898,5.1356737855419965,6.601936458395707
2015-06-01,5.982391259232839,6.785491482862347,6.755065228934294,5.966246799795593,6.210494828481789,6.453150249473059,6.2678182184248055,5.331926431401065,6.520279516923392
2015-07-01,6.155737493082696,6.834484447932859,6.718524667228742,6.220496945557214,6.456949744370903,6.650926447618367,6.42186129434362,5.648536031893178,6.682685841969615
