,CanESM5-CanOE_r1i1p2f1,ACCESS-ESM1-5-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r1i1p1f2
2014-01-01,6.70392328409253,6.284185247640562,6.815308234038922,6.1259213731650375,6.444393417164724,6.386773899963096
2014-02-01,6.878642947979497,6.505604337725908,6.907837461895085,6.529017048443865,6.685717641760631,6.363928512651196
2014-03-01,6.976666006231035,6.658392822352277,6.81316975151375,6.851250372253048,6.778292335493184,6.725687588234976
2014-04-01,6.9836276200977165,6.718033892769244,6.6038333718342175,6.8612159292017845,6.7605628362552475,6.516734907930327
2014-05-01,6.9070806566604555,6.590064115015212,6.360785084747089,6.457035296236214,6.618993215307298,6.597102463163255
2014-06-01,6.721353181508718,6.470514146346835,6.1073177565446946,6.228168477776498,6.443309053045668,6.3201761653214215
2014-07-01,6.431528300341975,6.182987854159379,6.019177656564249,6.227045968067603,6.09689601471755,6.116689393264764
2014-08-01,6.309459173514814,5.972915308225278,6.063940703767493,6.139497715016122,6.0356101962657815,6.103601317945038
2014-09-01,6.126107354385463,5.948477161351677,5.948777269551142,6.085129012342259,5.9659237995304,5.865539451174637
2014-10-01,6.094888859251451,6.1552585586121165,6.0316185586423705,6.1927788254044565,6.0787020683022135,5.799219218930985
2014-11-01,6.239343825998152,6.3560539449285125,6.09312367747887,6.365824942171463,6.1726487745513285,6.012829031230711
2014-12-01,6.429058999221473,6.539870412688671,6.386533979582202,6.323245123389598,6.280595823480853,6.101602190769967
2015-01-01,6.6132956456220375,6.5702111486860275,6.591534995154829,6.610944786691157,6.4076791273278495,6.606152573925391
2015-02-01,6.85050553936067,6.68117278798541,6.773262342199408,6.836333028843923,6.483758925670049,6.215762398091002
2015-03-01,7.01211264062712,6.726728739182713,6.823944280552629,6.851263697058492,6.698301313825732,6.965415563451311
2015-04-01,7.008180600366582,6.679009201234021,6.596683906911482,6.83107032684052,6.726944334373157,7.000043451597673
2015-05-01,6.781618683302258,6.5142124775349055,6.358065783737918,6.694188944741883,6.439000270121659,6.65925489281022
2015-06-01,6.48329540201668,6.226514598615867,6.195192088672942,6.3538638860050245,6.2584007368409,6.61548295137322
2015-07-01,6.350804234379214,5.978971990969727,5.965940064922839,6.040395778316139,5.905999009384696,6.34518988524376
2015-08-01,6.264818124187354,5.661561176177237,5.986107378518658,5.92995529715979,5.810907995656742,6.164247771092367
2015-09-01,6.18035963403296,5.830965051035992,6.041531285413141,5.8451078722978345,5.90293255338911,5.939023881429337
2015-10-01,6.103755837909263,5.959789837007049,6.080173528445126,6.049582494872569,6.0163735818874375,5.918219456786613
2015-11-01,6.2995698206192525,6.076831913385138,6.255462355205549,6.0867500521618085,6.155029991513961,6.186403668658183
2015-12-01,6.4969747362959644,6.174376341867437,6.304920172991428,6.684891819803616,6.306696074640019,6.5304991634259615
2016-01-01,6.904863391179664,6.260064960215512,6.5998178629451845,7.001650229042996,6.5466085374805605,6.678212350437192
2016-02-01,7.067575038071724,6.480916109353949,6.920164023203406,7.031670106380348,6.7620079201030086,6.538717516964406
2016-03-01,7.149731342188832,6.64795168202474,6.95038728133804,7.088929894575196,7.003019749653609,6.854137391543521
2016-04-01,7.112705543584196,6.640298859091763,6.851764875943825,7.131733750842675,7.0988010844953084,6.624371905319464
2016-05-01,7.028019597646134,6.307978222333598,6.941906811680187,7.078579908126433,6.873492450877791,6.343555044512694
2016-06-01,6.7499064691631965,6.201234229827158,6.621898585784024,6.838836949445809,6.825578097314468,6.377614089778474
2016-07-01,6.5613494932339655,6.000211969611964,6.361991566185485,6.2506703746035885,6.595358946164057,6.060773235664933
