,UKESM1-0-LL-r1i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,IPSL-CM6A-LR-r1i1p1f1,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2
1993-01-01,5.835210176382375,5.737499134547187,6.1146651662759925,5.8757165970356935,5.98570083608023,5.818727606137699
1993-02-01,5.900808616722113,5.803097574886925,6.18026360661573,5.941315037375431,6.051299276419966,5.884326046477434
1993-03-01,5.8505523309294585,5.752841289094273,6.1300073208230765,5.8910587515827775,6.001042990627315,5.87285548291085
1993-04-01,5.588583879236745,5.385053877986077,5.762219909714882,5.523271340474582,5.633255579519119,5.640470580492969
1993-05-01,4.634746553470198,4.537035511635013,4.914201543363818,4.6752529741235165,4.785237213168053,4.988380160584041
1993-06-01,3.658594873745781,3.5608838319105955,3.9380498636394,3.6991012943991,3.809085533443637,4.293685751945957
1993-07-01,2.7254926318000483,2.627781589964862,3.0049476216936672,2.7659990524533664,2.875983291497904,3.5966616027140197
1993-08-01,2.0847583543092165,1.9870473124740315,2.3642133442028364,2.125264774962536,2.2352490140070733,2.908919521135918
1993-09-01,1.9297539965035249,1.8320429546683392,2.209208986397144,1.970260417156844,2.0802446562013808,2.8492769065794077
1993-10-01,2.3877351932329054,2.2900241513977195,2.667190183126525,2.4282416138862244,2.5382258529307618,2.9638292226521923
1993-11-01,4.091692154275995,3.9655994053120667,4.342765437040873,4.103816867800571,4.213801106845109,4.31265533583721
1993-12-01,5.3272094350076316,5.229498393172447,5.6066644249012505,5.367715855660952,5.477700094705488,5.310726864762957
1994-01-01,5.831745758499715,5.7358783212274576,6.1059280127349655,5.871487907065236,5.979396971788178,5.815574180146449
1994-02-01,5.897344198839452,5.801476761567197,6.1715264530747005,5.937086347404972,6.044995412127916,5.8811726204861845
1994-03-01,5.847087913046801,5.751220475774543,6.1212701672820495,5.886830061612322,5.994739126335263,5.8309163346935335
1994-04-01,5.479300501938603,5.383433064666346,5.757488594164188,5.519042650504125,5.626951715227066,5.463128923585336
1994-05-01,4.63128213558754,4.535414698315282,4.956551289377527,4.6710242841530585,4.778933348876002,4.6151105572342725
1994-06-01,3.6551304558631226,3.559263018590865,3.9846140780241504,3.694872604428643,3.802781669151585,3.6389588775098556
1994-07-01,3.043355178449996,2.626160776645132,3.0075249814571343,2.7617703624829097,2.869679427205852,2.705856635564122
1994-08-01,2.723706002603976,1.985426499154301,2.399910159984879,2.1210360849920797,2.228945149715021,2.0651223580732916
1994-09-01,2.715382526170659,1.8304221413486088,2.2059331269320586,1.9660317271863867,2.0739407919093287,1.9101180002675986
1994-10-01,2.4023733811831933,2.2884033380779893,2.663998747916942,2.424012923915768,2.5319219886387088,2.3680991969969796
1994-11-01,4.242917799911823,3.963978591992337,4.339581758268023,4.099588177830114,4.207497242553057,4.076367380621502
1994-12-01,5.939617062667644,5.227877579852716,5.603650919102488,5.363487165690494,5.471396230413437,5.307573438771707
1995-01-01,6.952927359009402,5.734257507907728,6.10303157816708,6.046336300215987,5.973093107496125,5.812420754155199
1995-02-01,6.31760574544106,5.7998559482474645,6.162789299533673,5.932857657434515,6.038691547835863,5.878019194494936
1995-03-01,6.521072185004183,5.749599662454813,6.1125330137410225,5.882601371641862,5.988435262043211,5.827762908702283
1995-04-01,5.809025594871585,5.381812251346616,5.7447456026328245,5.514813960533667,5.620647850935013,5.459975497594087
1995-05-01,4.875412961852005,4.533793884995552,4.89672723628176,4.666795594182603,4.77262948458395,4.611957131243023
1995-06-01,3.686837580343719,3.5576422052711343,3.920575556557343,3.6906439144581857,3.796477804859533,3.6778736719552887
1995-07-01,2.78475538686109,2.6245399633254007,2.9874733146116097,2.788214142467505,2.8633755629138,2.70771896566764
1995-08-01,2.330707704364007,1.9838056858345705,2.3467390371207792,2.1168073950216217,2.222641285422969,2.0619689320820416
1995-09-01,2.0873712533200304,1.8288013280288773,2.1917346793150863,1.9618030372159287,2.067636927617277,1.9069645742763492
1995-10-01,2.462773450523226,2.2867825247582587,2.6497158760444672,2.41978423394531,2.5256181243466567,2.5202944505148785
1995-11-01,4.503973348922257,3.9623577786726063,4.3252911299588135,4.095359487859657,4.201193378261005,4.120357556358328
1995-12-01,5.7887196312468205,5.226256766532986,5.589190117819195,5.359258475720038,5.465092366121384,5.304420012780457
1996-01-01,6.291150498146566,5.732636694587997,6.088453705652907,5.863030527124323,5.966789243204075,5.8092673281639495
1996-02-01,5.890415363074133,5.798235134927733,6.154052145992644,5.928628967464057,6.032387683543812,5.874865768503685
1996-03-01,5.840159077281482,5.74797884913508,6.103795860199993,5.878372681671407,5.98213139775116,5.8246094827110335
1996-04-01,5.472371666173286,5.380191438026885,5.736008449091795,5.600845850919173,5.614343986642963,5.456822071602836
1996-05-01,4.624353299822221,4.532173071675822,4.887990082740731,4.662566904212146,4.766325620291898,4.608803705251773
1996-06-01,3.6482016200978054,3.556021391951404,3.911838403016314,3.686415224487728,3.7901739405674815,3.8607946000207396
1996-07-01,2.715099378152072,2.6229191500056706,2.978736161070581,2.7533129825419955,2.8570716986217475,2.9903266668389965
1996-08-01,2.074365100661241,1.98218487251484,2.3431386909166703,2.198677345049643,2.216337421130917,2.199630901113514
1996-09-01,1.9193607428555488,1.827180514709148,2.188307804411964,2.0128464665564154,2.0613330633252245,1.9038111482850995
1996-10-01,2.3773419395849293,2.7198067654229217,2.646206816117344,2.573105800604297,2.519314260054605,2.414224147714051
1996-11-01,4.052917193499277,4.0469607102121365,4.316553976417786,4.091130797889201,4.194889513968953,4.079684797426987
1996-12-01,5.316816181359657,5.302144018638117,5.586249687161479,5.355029785749581,5.458788501829332,5.3012665867892075
1997-01-01,6.150206144077487,5.921306741176901,6.079716552111878,5.858801837153865,5.960485378912022,5.806113902172699
1997-02-01,7.0946317403689125,6.500930575497192,6.145314992451615,5.924400277493602,6.026083819251758,5.871712342512437
1997-03-01,6.540985011020192,6.188718198108647,6.095058706658964,5.87414399170095,5.975827533459108,5.821456056719785
1997-04-01,5.7295404989911605,5.5505514945366645,5.727271295550767,5.506356580592753,5.60804012235091,5.492461168351208
1997-05-01,4.620888881939564,4.859275756214412,4.879252929199703,4.658338214241688,4.760021755999847,4.771982515114784
1997-06-01,3.6447372022151465,3.9045658276517896,3.9031012494752853,3.682186534517272,3.7838700762754285,3.787067965443051
1997-07-01,2.7116349602694134,3.0100703437448013,2.969999007529552,2.8531875116593275,2.8507678343296954,2.924904710671174
1997-08-01,2.0709006827785825,2.383524971826973,2.3292647300387213,2.3431470284486133,2.2100335568388654,2.539645499375856
1997-09-01,1.91589632497289,2.2954628431555717,2.1742603722330287,2.343518561140102,2.0550291990331724,2.3406924820339317
1997-10-01,2.373877521702271,2.708202814093629,2.632241568962409,2.7114864230520785,2.5130103957625534,3.0673168154433648
1997-11-01,4.0494527756166185,3.9746711729485176,4.307816822876756,4.184686094187144,4.1885856496769005,4.402623030504657
1997-12-01,5.313351763476998,5.2230151398935245,5.571715810737136,5.350801095779123,5.45248463753728,5.822529370108246
1998-01-01,5.8178880869690826,5.729395067948537,6.07097939857085,5.854573147183409,5.954181514619972,6.097806226491609
1998-02-01,5.883486527308817,5.794993508288273,6.1365778389105845,5.920171587523142,6.0197799549597075,5.868558916521187
1998-03-01,5.833230241516166,5.744737222495623,6.0863215531179335,5.869915301730492,5.969523669167055,5.818302630728535
1998-04-01,5.4654428304079685,5.417143094536892,5.718534142009737,5.519952698653166,5.6017362580588586,5.450515219620338
1998-05-01,4.6174244640569055,4.638146097230879,4.870515775658673,4.900122517824299,4.753717891707794,4.602496853269274
1998-06-01,3.641272784332488,3.643210534073792,3.894364095934257,3.892196311985392,3.777566211983376,3.6263451735448564
1998-07-01,2.708170542386754,2.6491419212986718,2.9612618539885243,2.785489277914081,2.8444639700376437,2.6932429315991233
1998-08-01,2.0738302467672707,1.9789432458753784,2.3205275764976925,2.4565734840863627,2.203729692546813,2.0525086541082924
1998-09-01,2.07868783705132,1.823938888069686,2.165523218692,2.3776820549768845,2.0487253347411203,1.8975042963026003
1998-10-01,2.443973379382393,2.3512463571956763,2.6235044154213805,2.9394108160841323,2.5067065314705013,2.355485493031981
1998-11-01,4.185722184167922,3.9761282896627432,4.299079669335727,4.2044985154903225,4.182281785384848,4.0343136149721115
1998-12-01,5.451301561688969,5.221394326573794,5.562978657196108,5.346572405808667,5.446180773245229,5.294959734806708
1999-01-01,6.344489020087477,5.727774254628805,6.062242245029823,5.850344457212951,5.947877650327919,5.799807050190201
1999-02-01,6.6504521696585535,5.793372694968539,6.1278406853695575,5.915942897552687,6.013476090667655,5.91619478461782
1999-03-01,6.668247411256372,5.743116409175888,6.077584399576906,5.865686611760036,5.963219804875003,5.945074473087208
1999-04-01,5.931696355757619,5.375328998067694,5.7097969884687085,5.49789920065184,5.5954323937668065,5.447361793629089
1999-05-01,4.8277222685003744,4.527310631716628,4.8617786221176456,4.710038346589669,4.747414027415743,4.599343427278024
1999-06-01,3.653408838880074,3.5511589519922118,3.8856269423932273,3.706639903341271,3.771262347691324,3.6256202445063117
1999-07-01,2.754221061343993,2.6180567100464787,2.9525247004474937,3.0385905686600547,2.8381601057455907,2.6900895056078737
1999-08-01,2.0993798113494213,1.977322432555648,2.311790422956664,2.267912861843034,2.1974258282547607,2.049355228117043
1999-09-01,2.1302489535486666,1.822318074749956,2.1567860651509707,2.162854844322664,2.042421470449068,1.8943508703113505
1999-10-01,2.550142722600349,2.280299271479336,2.614767261880352,2.4028694740634817,2.5004026671784487,2.352332067040731
1999-11-01,4.042523939851301,3.9576977344563895,4.290342515794698,4.078444727977828,4.175977921092796,4.027907320955078
1999-12-01,5.30642292771168,5.219773513254064,5.55424150365508,5.342343715838209,5.439876908953176,5.291806308815459
2000-01-01,5.810959251203765,5.726153441309076,6.053505091488793,5.846115767242494,5.941573786035867,5.9253023462972
2000-02-01,5.876557691543501,5.7917518816488105,6.119103531828529,5.91171420758223,6.007172226375602,5.862252064538687
2000-03-01,5.826301405750848,5.7414955958561595,6.068847246035876,5.861457921789577,5.95691594058295,5.966306868987264
2000-04-01,5.4585139946426535,5.636147824263875,5.701059834927679,5.4936705106813815,5.5891285294747535,5.568254493168042
2000-05-01,4.994528046149551,4.970994498100142,4.853041468576616,4.645652144330319,4.7411101631236905,4.674515737880746
2000-06-01,4.222345139364198,4.139390497533399,3.876889788852199,3.6695004646059,3.7649584833992717,3.6200383215623573
2000-07-01,3.2322294691452527,2.954543506948573,2.9437875469064654,2.736398222660167,2.8318562414535386,2.686936079616624
2000-08-01,2.5671912398211307,2.211680910323341,2.4737620392374247,2.095663945169336,2.1911219639627086,2.09719372247575
2000-09-01,2.118737609616498,1.9285739774169413,2.1480489116099424,1.940659587363644,2.0361176061570156,1.985283030062412
2000-10-01,2.363484268054295,2.2854574907376124,2.606030108339323,2.3986407840930246,2.4940988028863966,2.6337074477611333
2000-11-01,4.039059521968642,4.03018384768731,4.281605362253671,4.074216038007372,4.169674056800744,4.135600411090987
2000-12-01,5.302958509829022,5.5196128240524445,5.54550435011405,5.338115025867752,5.433573044661124,5.329049707541491
2001-01-01,5.8074948333211065,6.211629340223178,6.044767937947763,5.8418870772720375,5.935269921743814,5.793500198207703
2001-02-01,5.884680775654767,5.864260214696336,6.1103663782875,5.907485517611773,6.082554814036594,6.264680558449361
2001-03-01,5.822836987868191,5.739874782536429,6.060110092494849,5.8572292318191215,6.057434567373947,6.499556491847117
2001-04-01,5.4550495767599925,5.45318994825735,5.692322681386652,5.489441820710924,5.617827576010719,6.5067161897158705
2001-05-01,4.6070312104089295,4.524069005077168,4.844304315035588,4.6414234543598605,4.7348062988316375,5.604358056154049
2001-06-01,3.6308795306845116,3.5479173253527514,3.8681526353111697,3.6652717746354435,3.75865461910722,4.511185175428103
2001-07-01,2.85977736745652,2.6148150834070174,2.9350503933654366,2.732169532689709,2.8255523771614866,3.4821779183289543
2001-08-01,2.057043011247948,1.974080805916187,2.294316115874606,2.091435255198879,2.184818099670656,2.7186028319687843
2001-09-01,1.902038653442256,1.8190764481104944,2.1393117580689136,1.9364308973931867,2.029813741864964,2.4843007283440968
2001-10-01,2.365491589038704,2.277057644839875,2.597292954798294,2.3944120941225675,2.4877949385943445,2.91168295063809
2001-11-01,4.169069645116771,3.952632898754224,4.272868208712643,4.069987348036914,4.163370192508692,4.369830437380938
2001-12-01,5.2994940919463644,5.216531886614602,5.536767196573021,5.333886335897295,5.427269180369072,5.526351772375051
2002-01-01,5.804030415438447,5.722911814669615,6.036030784406736,5.83765838730158,5.9289660574517615,6.021319883184615
2002-02-01,5.869628855778183,5.788510255009348,6.101629224746473,5.903256827641318,5.9945644977914965,6.185608267393462
2002-03-01,5.819372569985531,5.8554370874380846,6.051372938953817,5.853000541848664,5.9443082119988455,6.021435084236206
2002-04-01,5.451585158877333,5.62001573271163,5.683585527845622,5.485213130740467,5.576520800890648,5.43790151565534
2002-05-01,4.603566792526268,5.0812530703113685,4.835567161494558,4.637194764389403,4.728502434539585,4.589883149304275
2002-06-01,3.627415112801853,4.353920334999094,3.859415481770141,3.6610430846649855,3.752350754815168,3.6393261507066077
2002-07-01,2.69431287085612,3.4998697691887384,2.9263132398244083,2.727940842719253,2.8192485128694345,2.7550892729310816
2002-08-01,2.0535785933652897,3.00997459698731,2.2855789623335774,2.0872065652284224,2.194087874898207,2.110734409303026
2002-09-01,1.8985742355595967,2.7005615891366435,2.130574604527885,1.9322022074227296,2.2415732314338834,1.8873658181567803
2002-10-01,2.3565554322889777,3.1154989567984326,2.5885558012572654,2.3901834041521104,2.7452735488655984,2.393668007875109
2002-11-01,4.032130686203326,4.364444186395495,4.264131055171612,4.065758658066457,4.217984953042206,4.018447042981329
2002-12-01,5.296029674063705,5.667414542450539,5.528030043031993,5.3296576459268366,5.42096531607702,5.28234603084171
2003-01-01,5.800565997555788,6.078477828139457,6.0272936308657075,5.833429697331122,5.9226621931597085,5.7871933462252025
2003-02-01,5.8661644378955256,6.293173310835162,6.0928920712054415,5.899028137670858,5.988260633499444,5.8527917865649375
2003-03-01,5.815908152102872,6.4351164768346525,6.042635785412791,5.8487718518782055,5.938004347706793,5.8025355007722865
2003-04-01,5.448120740994677,6.1797932110141245,5.6748483743045925,5.48098444077001,5.570216936598596,5.43474808966409
2003-05-01,4.600102374643613,5.069517090320603,4.8268300079535305,4.632966074418946,4.722198570247533,4.5867297233130255
2003-06-01,3.6239506949191935,4.061205937068225,3.8506783282291126,3.656814394694528,3.746046890523116,3.6105780435886086
2003-07-01,2.6908484529734613,3.311177853198956,2.917576086283379,2.7237121527487957,2.8129446485773824,2.677475801642875
2003-08-01,2.050114175482631,2.764491110355772,2.2768418087925486,2.0829778752579653,2.172210371086552,2.0367415241520446
2003-09-01,1.8951098176769383,2.7111783855674654,2.121837450986856,1.9279735174522727,2.01720601328086,1.881737166346352
2003-10-01,2.353091014406319,2.726089288543609,2.5798186477162366,2.3859547141816533,2.4751872100102403,2.3397183630757326
2003-11-01,4.028895048341863,4.0749539050732135,4.255393901630582,4.061529968096002,4.2441368771413535,4.01529361699008
2003-12-01,5.292565256181046,5.318993529933756,5.5192928894909645,5.325428955956379,5.758475019970934,5.2791926048504605
2004-01-01,5.79710157967313,5.743721047904731,6.018556477324678,5.829201007360666,6.6779607746156255,5.784039920233953
2004-02-01,5.862700020012866,5.785268628369889,6.0841549176644145,5.894799447700403,6.4696991319337895,5.849638360573689
2004-03-01,6.2242444381770525,5.735012342577237,6.033898631871763,5.84454316190775,6.2454080515266455,5.799382074781037
2004-04-01,6.0777071208229305,5.367224931469041,5.6661112207635655,5.476755750799552,5.658055740968955,5.43159466367284
2004-05-01,5.340846442515451,4.519206565117977,4.818092854412501,4.628737384448488,4.749638079080584,4.583576297321776
2004-06-01,4.382813620815513,3.5430548853935586,3.8419411746880843,3.6525857047240717,3.822674753412495,3.6074246175973586
2004-07-01,3.4010600354127174,2.6099526434478255,2.9088389327423503,2.7194834627783377,2.8356244601583267,2.6743223756516254
2004-08-01,2.508367156109021,1.9692183659569955,2.26810465525152,2.2007893798550926,2.1978147165745874,2.033588098160795
