,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,GFDL-ESM4-r1i1p1f1,UKESM1-0-LL-r4i1p1f2
1993-01-01,9.471419878106298,9.406718865579004,9.4929820345006,9.795989684073977,9.505825552911807,9.842393819444984,9.169850306565607,9.634340400568716,9.280606671812977
1993-02-01,9.272224773532217,8.923283011953636,9.532408004227193,10.183365880601155,9.49700755178829,9.330862772707027,8.758173783100245,9.663075555148367,9.061334095504874
1993-03-01,9.078447080156364,8.368275744396536,9.729743966888863,10.037472313167733,9.863684599189193,9.302987422942856,8.798410169239961,9.355340944183595,9.14105527068796
1993-04-01,9.219022653974273,8.454836979963652,10.35061050674794,10.183311634104149,10.213564059154722,9.55498779930118,9.021645977880171,10.027858739433976,9.50182902341765
1993-05-01,9.212763285943158,8.438384417014761,10.471132116212637,10.027247129485149,10.5053820768949,9.574042175796972,8.906200676797132,9.968747136942703,9.358193062316195
1993-06-01,8.993817261651927,8.270204101730018,9.971360626351233,9.63590127474076,10.406256211207037,9.371149310227793,8.791334288821954,9.842716216234756,9.115998929020424
1993-07-01,8.361714710592565,7.62040286915116,9.206376437626696,8.854458094843158,9.528175456408553,8.807110224518294,8.249658213827466,8.789393525006364,8.416407203923036
1993-08-01,8.057526505112566,7.209309368342217,8.664746302390189,8.217651098497711,8.828505674467431,8.309151119034192,7.9155726112124025,8.346349909966754,8.031736094074846
1993-09-01,8.412772743214731,7.6755261433050075,8.964883900311612,8.341442558764069,9.358542865841082,8.624709109911361,8.261105445674257,8.221924510901625,8.350417166982451
1993-10-01,9.852789479097794,9.2262089857607,10.057470856190905,10.086486882545797,10.95511827560006,9.94330039923825,9.814563512857807,9.604373220557846,10.32426233274639
