,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-r1i1p1f1
1993-01-01,7.0927340514053085,7.102078557579743,6.9398912574095855,6.962606946896899,7.102903402109652,7.084515925456547
1993-02-01,7.2056140710305865,7.214958577205019,7.052771277034862,7.075486966522178,7.215783421734928,7.197395945081823
1993-03-01,7.292189300048996,7.3015338062234285,7.139346506053273,7.162062195540585,7.302358650753338,7.283971174100233
1993-04-01,7.352441462759456,7.361785968933892,7.199598668763733,7.222314358251048,7.362610813463801,7.344223336810694
1993-05-01,7.155129942767049,7.1644744489414816,7.002287148771324,7.151423545529604,7.16529929347139,7.146911816818285
1993-06-01,6.99394726010333,7.003291766277764,6.841104466107607,6.93313292447592,7.004116610807673,6.9857291341545675
1993-07-01,6.855175121504941,6.864519627679374,6.702332327509216,6.798324498970477,6.865344472209282,6.846956995556177
1993-08-01,6.802539686214362,6.811884192388796,6.649696892218637,6.672412581705951,6.812709036918704,6.794321560265599
1993-09-01,6.693856605024817,6.703201111199252,6.541013811029093,6.563729500516407,6.70402595572916,6.685638479076055
1993-10-01,6.66605592640204,6.675400432576473,6.513213132406317,6.555817612503978,6.67622527710638,6.657837800453275
1993-11-01,6.748364338584312,6.757708844758747,6.595521544588588,6.661805076132683,6.758533689288652,6.740146212635548
1993-12-01,6.904889295394727,6.9142338015691625,6.752046501399004,6.774762190886317,6.9150586460990695,6.896671169445964
1994-01-01,7.08501252836793,7.094180723105109,6.935053560674013,6.95734065224647,7.094990004530679,7.07694946139933
1994-02-01,7.197892547993206,7.207060742730385,7.0479335802992855,7.071541411732108,7.207870024155956,7.189829481024607
1994-03-01,7.284467777011616,7.293635971748795,7.134508809317698,7.157357542163006,7.2944452531743655,7.276404710043017
1994-04-01,7.344719939722077,7.353888134459258,7.19476097202816,7.220673602702812,7.354697415884829,7.336656872753479
1994-05-01,7.147408419729668,7.156576614466848,6.99744945203575,7.019736543608209,7.157385895892418,7.139345352761069
1994-06-01,6.986225737065951,6.99539393180313,6.836266769372032,6.8585538609444905,6.996203213228702,6.978162670097352
1994-07-01,6.84745359846756,6.856621793204737,6.697494630773642,6.7197817223461005,6.857431074630308,6.83939053149896
1994-08-01,6.7948181631769815,6.8039863579141615,6.644859195483062,6.667146287055521,6.804795639339732,6.786755096208383
1994-09-01,6.6861350819874374,6.6953032767246174,6.536176114293518,6.558463205865978,6.696112558150189,6.67807201501884
1994-10-01,6.658334403364661,6.667502598101837,6.50837543567074,6.530662527243201,6.668311879527409,6.65027133639606
1994-11-01,6.7406428155469325,6.7498110102841125,6.590683847853013,6.612970939425473,6.750620291709683,6.732579748578333
1994-12-01,6.897167772357348,6.9063359670945275,6.747208804663429,6.769495896235888,6.907145248520099,6.889104705388748
1995-01-01,7.077291005330548,7.086282888630475,6.930215863938438,6.95207435759604,7.087076606951707,7.069382997342116
1995-02-01,7.190171024955824,7.199162908255751,7.043095883563713,7.0649543772213175,7.199956626576984,7.182263016967392
1995-03-01,7.2767462539742365,7.285738137274161,7.129671112582122,7.151529606239728,7.286531855595393,7.268838245985803
