,UKESM1-0-LL-r1i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,IPSL-CM6A-LR-r1i1p1f1,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2
1993-01-01,0.3900817275679659,0.4159319332153255,0.5532111974170592,0.3812197428792802,0.3812197428792802,0.4124725536216731
1993-02-01,0.41355926029697465,0.429320534569404,0.5766887301460679,0.40469727560828894,0.40469727560828894,0.4359500863506819
1993-03-01,0.4252526739759431,0.4375974296676115,0.5883821438250363,0.4163906892872574,0.4163906892872574,0.43203633848174605
1993-04-01,0.4183671317388925,0.4410726238560169,0.5903585862766715,0.4183671317388925,0.4183671317388925,0.42728793103015605
1993-05-01,0.4321889505357842,0.4257532074677055,0.5851789483606123,0.4131874938228334,0.4131874938228334,0.41908596803309195
1993-06-01,0.40400210576169227,0.4119295877400074,0.5671315756107855,0.39514012107300656,0.39514012107300656,0.46388131647736985
1993-07-01,0.37790867434269215,0.4093303502279858,0.5410381441917855,0.3690466896540064,0.3690466896540064,0.6748716052386803
1993-08-01,0.3459360997757932,0.3596603767289662,0.5090655696248865,0.33707411508710755,0.33707411508710755,0.7274085723147384
1993-09-01,0.33250192257074784,0.35610684603934795,0.4956313924198411,0.3236399378820621,0.3236399378820621,0.9687718013120898
1993-10-01,0.3188071363218289,0.3287762326389461,0.4819366061709223,0.3099451516331433,0.3099451516331433,0.6762890868458267
1993-11-01,0.31490164966806344,0.3348788877754959,0.4861594272972624,0.3141679727594834,0.3141679727594834,0.34062677093839566
1993-12-01,0.35073038064782003,0.3716618767926573,0.5138598504969133,0.3418683959591343,0.3418683959591343,0.39518551644130956
1994-01-01,0.3849888744505431,0.4617163287974214,0.4972312265157961,0.3812197428792802,0.3972693355659188,0.41618662237668314
1994-02-01,0.4084664071795519,0.4172383082033924,0.5207087592448049,0.40469727560828894,0.4207468682949276,0.4396641551056919
1994-03-01,0.4201598208585203,0.4838471946103772,0.5324021729237733,0.4163906892872574,0.4324402819738961,0.45135756878466027
1994-04-01,0.4221362633101554,0.4869065694031015,0.5945430351589849,0.4183671317388925,0.4344167244255312,0.45333401123629535
1994-05-01,0.4169566253940963,0.4513518826167709,0.602839100172841,0.4131874938228334,0.42923708650947207,0.44815437332023633
1994-06-01,0.3989092526442695,0.4699711225178274,0.5758095866019302,0.39514012107300656,0.4111897137596452,0.43010700057040946
1994-07-01,0.4926804421905376,0.4252324323303796,0.4720669420080027,0.3690466896540064,0.3850962823406451,0.40401356915140935
1994-08-01,0.661198106718314,0.4064014078993847,0.4743984921389683,0.33707411508710755,0.3531237077737462,0.37204099458451045
1994-09-01,0.8552428727985909,0.3465030026747065,0.4275468351710959,0.3236399378820621,0.3396895305687008,0.3586068173794651
1994-10-01,0.3474440435004853,0.33537329640367763,0.3999636179716425,0.3099451516331433,0.3259947443197819,0.34491203113054614
1994-11-01,0.3141679727594834,0.3828203172774799,0.4330863849550624,0.3141679727594834,0.33021756544612196,0.3584779175880084
1994-12-01,0.3418683959591343,0.3739388287376358,0.4284716173698174,0.3418683959591343,0.35791798864577296,0.3768352754565372
1995-01-01,0.3891461117743769,0.5035674905934052,0.5319047352293542,0.3812197428792802,0.3812197428792802,0.4035273033236637
1995-02-01,0.4149655685408694,0.4384527883914007,0.5139351400458272,0.4076041677536249,0.41326571418548,0.43419911925692084
1995-03-01,0.4403587954152688,0.4634820978362042,0.5256285537247956,0.4192975814325933,0.4382823592047777,0.43869824973164084
1995-04-01,0.4324589048040692,0.4849592353737961,0.5276049961764306,0.4212740238842284,0.4183671317388925,0.44067469218327593
1995-05-01,0.4440226407252694,0.5527600538078903,0.5224253582603715,0.4160943859681693,0.4131874938228334,0.4493746186153841
1995-06-01,0.4187154429101605,0.4644886696912304,0.5043779855105448,0.3980470132183425,0.39514012107300656,0.4375969119132564
1995-07-01,0.4146426320821052,0.4726346322496414,0.4782845540915446,0.3719535817993424,0.3690466896540064,0.3913542500983899
1995-08-01,0.4086011432270709,0.4027628435947631,0.44631197952464574,0.3399810072324435,0.33707411508710755,0.35938167553149103
1995-09-01,0.3947534411478308,0.36786553946489614,0.4328778023196004,0.3265468300273981,0.3236399378820621,0.34594749832644567
1995-10-01,0.3616302039673929,0.3698009896057307,0.4191830160706815,0.3128520437784792,0.3099451516331433,0.4591259632703692
1995-11-01,0.4569061867385635,0.3796720301930961,0.4234058371970215,0.3170748649048193,0.3141679727594834,0.3861889877921778
1995-12-01,0.3418683959591343,0.37739811492298403,0.4511062603966725,0.3447752881044702,0.3418683959591343,0.3641759564035178
1996-01-01,0.4124770703841508,0.4883118409346786,0.5193427802390868,0.3812197428792802,0.3904283470094104,0.3970582224428607
1996-02-01,0.4239520672177752,0.5496832691394069,0.5428203129680955,0.40469727560828894,0.4139058797384192,0.4205357551718695
1996-03-01,0.4656823714624072,0.5423395505431013,0.5545137266470639,0.4163906892872574,0.4255992934173877,0.43222916885083784
1996-04-01,0.4273249362071353,0.5165912872841341,0.556490169098699,0.4183671317388925,0.4275757358690227,0.4342056113024729
1996-05-01,0.4542802320116307,0.5173411782803988,0.5513105311826401,0.4131874938228334,0.4223960979529636,0.43681027890614377
1996-06-01,0.4362328592618039,0.5111149425730973,0.533263158432813,0.39514012107300656,0.4043487252031368,0.4205726434689091
1996-07-01,0.41013942784280377,0.4966061538462427,0.5071697270138129,0.3690466896540064,0.3782552937841367,0.4078070668735059
1996-08-01,0.3781668532759049,0.4542232092532758,0.5029743395589872,0.344157730190476,0.3462827192172377,0.3530686096190837
1996-09-01,0.36473267607085946,0.467671227968536,0.5194329409465204,0.3236399378820621,0.3328485420121924,0.34991318243867
1996-10-01,0.3510378898219406,0.5889883785400631,0.4705786776033615,0.3263159217810952,0.3191537557632735,0.35119880701381984
1996-11-01,0.3552607109482807,0.339526638345001,0.4522910101192899,0.3141679727594834,0.3233765768896136,0.34759360883173135
1996-12-01,0.3829611341479317,0.3791089685286471,0.5101417108576842,0.3418683959591343,0.35107700008926457,0.3577068755227148
1997-01-01,0.3812197428792802,0.4083781797636648,0.5473673031647268,0.3881823561330898,0.3967032764878642,0.4044820189749385
1997-02-01,0.40469727560828894,0.40469727560828894,0.5708448358937357,0.4116598888620986,0.42018080921687295,0.4279595517039473
1997-03-01,0.4163906892872574,0.4163906892872574,0.5825382495727041,0.4233533025410671,0.4318742228958413,0.43965296538291576
1997-04-01,0.4207914996474412,0.4361866342079572,0.5845146920243391,0.42532974499270215,0.4338506653474764,0.4183671317388925
1997-05-01,0.426618194746187,0.4131874938228334,0.57933505410828,0.4131874938228334,0.4286710274314174,0.4131874938228334
1997-06-01,0.4297133566579433,0.41395254023863226,0.5612876813584532,0.39514012107300656,0.4106236546815905,0.39514012107300656
1997-07-01,0.38278940898060176,0.4280867200979507,0.5351942499394531,0.3690466896540064,0.3845302232625904,0.37440376708449724
1997-08-01,0.3508168344137029,0.4929924250362442,0.5032216753725542,0.33707411508710755,0.3525576486956915,0.4378995245621756
1997-09-01,0.33738265720865745,0.5708344386992538,0.4897874981675088,0.33517421002238285,0.3391234714906461,0.484914125469025
1997-10-01,0.3236878709597386,0.5151438099387078,0.4760927119185899,0.3099451516331433,0.3254286852417272,0.6986922227367203
1997-11-01,0.3279106920860787,0.3785319778959575,0.48031553304493,0.3141679727594834,0.3296515063680673,0.34809113901578514
1997-12-01,0.35561111528572964,0.3738262256036332,0.508015956244581,0.3424450285251514,0.3573519295677183,0.34896595087844984
1998-01-01,0.3987698305387988,0.4201301983510431,0.5315688448903411,0.3980391281156565,0.4075216385192689,0.3897659225018058
1998-02-01,0.4222473632678075,0.44442458986660416,0.5550463776193498,0.4183551219879177,0.4309991712482777,0.4347923651697947
1998-03-01,0.43394077694677596,0.4831771912979046,0.5667397912983182,0.4163906892872574,0.44269258492724617,0.4729871398217846
1998-04-01,0.4359172193984111,0.4505912148883088,0.5687162337499534,0.4183671317388925,0.4446690273788813,0.4749635822734196
1998-05-01,0.430737581482352,0.43620432006708176,0.5635365958338943,0.4131874938228334,0.4394893894628221,0.4697839443573606
1998-06-01,0.4126902087325252,0.4305149188711765,0.5454892230840673,0.39514012107300656,0.4214420167129953,0.4517365716075337
1998-07-01,0.4291819144941033,0.4870197774026594,0.5193957916650673,0.3690466896540064,0.3953485852939952,0.4256431401885336
1998-08-01,0.4184026887571847,0.4464420273601288,0.4874232170981684,0.33707411508710755,0.36337601072709613,0.3936705656216347
1998-09-01,0.3583274456426718,0.3622746584912704,0.473989039893123,0.3856825490818426,0.3499418335220509,0.38023638841658935
1998-10-01,0.3359930043685648,0.3971834096934844,0.4602942536442041,0.4064354417917314,0.33624704727313204,0.3665416021676704
1998-11-01,0.3500981016748799,0.3933092962717831,0.4645170747705442,0.3195208715385831,0.3404698683994721,0.3707644232940105
1998-12-01,0.3482161481819791,0.3775092852715125,0.4922174979701951,0.3418683959591343,0.3681702915991231,0.3984648464936615
1999-01-01,0.3812825794232499,0.4174192004137232,0.5349412343405504,0.3905431949811848,0.3971743713391024,0.4285913334918303
1999-02-01,0.40469727560828894,0.4567278143509118,0.5584187670695592,0.4140207277101936,0.4206519040681112,0.4184329393011538
1999-03-01,0.4163906892872574,0.4855118514388391,0.5701121807485275,0.4257141413891621,0.4323453177470796,0.4182162861990031
1999-04-01,0.4183671317388925,0.4602059967549574,0.5720886232001626,0.4276905838407972,0.4343217601987147,0.45612470248138826
1999-05-01,0.4131874938228334,0.5450186674734381,0.5669089852841036,0.4131874938228334,0.4291421222826556,0.4605590844353835
1999-06-01,0.4069601047141337,0.4591956022951366,0.5488616125342767,0.39514012107300656,0.4110947495328288,0.4425117116855566
1999-07-01,0.4242717694956737,0.4124204969127661,0.5227681811152767,0.3690466896540064,0.3850013181138287,0.4164182802665566
1999-08-01,0.3603842340762866,0.3975829005752921,0.4907956065483777,0.33707411508710755,0.35302874354692976,0.38444570569965764
1999-09-01,0.43133053634272817,0.35303048268743165,0.4773614293433323,0.3305936409336589,0.33959456634188434,0.3710115284946123
1999-10-01,0.420443598611816,0.38560582641333796,0.4636666430944134,0.31926860373504795,0.3258997800929655,0.3573167422456933
1999-11-01,0.3523603574062781,0.36406681676641467,0.4678894642207535,0.32349142486138804,0.3301226012193056,0.3615395633720334
1999-12-01,0.38006078060592907,0.4088330280661161,0.4955898874204045,0.351191848061039,0.3578230244189565,0.3892399865716844
2000-01-01,0.4044880212794814,0.5143226299166427,0.5356187572483562,0.3992749380417482,0.4053800786964499,0.3813565442883706
2000-02-01,0.42796555400849023,0.550145313744129,0.5590962899773649,0.42275247077075695,0.42885761142545853,0.4290382101082699
2000-03-01,0.4396589676874586,0.553496405965739,0.5707897036563334,0.43444588444972543,0.4405510251044271,0.4216453964320206
2000-04-01,0.4729340631333076,0.419330149724071,0.5727661461079685,0.4364223269013605,0.4425274675560622,0.41965805411336976
2000-05-01,0.4131874938228334,0.41649138864339397,0.5675865081919094,0.4312426889853014,0.4373478296400031,0.4185233624762564
2000-06-01,0.4008497621428386,0.4205240102757696,0.5495391354420824,0.41319531623547456,0.41930045689017625,0.4223982972278117
2000-07-01,0.405799099583438,0.3690466896540064,0.5234457040230824,0.3871018848164745,0.39320702547117614,0.4067838647457793
2000-08-01,0.4668620293327454,0.3457386328052562,0.4866725565899059,0.3551293102495756,0.3612344509042773,0.37508724383194153
2000-09-01,0.34669892827883353,0.3474526564463288,0.4780389522511381,0.3416951330445301,0.34780027369923183,0.36809254007480513
2000-10-01,0.3332134300333445,0.4287850606445164,0.4643441660022192,0.3280003467956113,0.334105487450313,0.5214829022724846
2000-11-01,0.3374362511596846,0.3640591145087404,0.4685669871285593,0.3322231679219514,0.3383283085766531,0.3307249542008427
2000-12-01,0.3651366743593355,0.3437180646070948,0.4962674103282103,0.3599235911216023,0.36602873177630396,0.34222794264845524
2001-01-01,0.4158875053006992,0.3812197428792802,0.6078549397814716,0.4115692315081833,0.3812197428792802,0.40985360453308317
2001-02-01,0.4187675746231522,0.4304311909736085,0.6313324725104805,0.4350467642371921,0.40469727560828894,0.42775582190703987
2001-03-01,0.4510584517086765,0.5629087486066705,0.6430258861894489,0.4467401779161604,0.4163906892872574,0.4242941871563538
2001-04-01,0.4530348941603115,0.4562631577919805,0.645002328641084,0.4487166203677955,0.4183671317388925,0.43191731132406685
2001-05-01,0.4478552562442525,0.5011543353176612,0.6398226907250248,0.4435369824517365,0.4131874938228334,0.4225144343298971
2001-06-01,0.4289782384656353,0.4797932532300069,0.621775317975198,0.4254896097019096,0.39514012107300656,0.446976088214749
2001-07-01,0.44008792950024617,0.5092434498942793,0.5956818865561979,0.3993961782829095,0.4027136757106361,0.5796934526273891
2001-08-01,0.3812031148932921,0.4921206718301506,0.563709311989299,0.36742360371601057,0.3707411011437373,0.6337906415410526
2001-09-01,0.35830770030348125,0.4752006423162559,0.5502751347842536,0.3539894265109652,0.3573069239386918,0.6833792421273919
2001-10-01,0.3632918196075171,0.4049082741517803,0.5365803485353348,0.34029464026204626,0.3436121376897729,0.6467762053298798
2001-11-01,0.3374009877496713,0.4405803549205369,0.5408031696616749,0.34451746138838635,0.34783495881611304,0.36536693222016736
2001-12-01,0.3561715722569394,0.4499183868297809,0.5685035928613258,0.3722178845880373,0.375535382015764,0.35133305892061606
2002-01-01,0.461154903600259,0.4993886149251742,0.5562463720268517,0.3916728723419208,0.433816740328465,0.3890686650434519
2002-02-01,0.4846324363292677,0.44477997155413707,0.5797239047558604,0.4151504050709296,0.4572942730574738,0.41148367366565974
2002-03-01,0.4963258500082362,0.4272254528230411,0.5914173184348288,0.4268438187498981,0.4689876867364422,0.4231580839409589
2002-04-01,0.42900376677841656,0.4295987510438927,0.5933937608864639,0.4288202612015332,0.4709641291880773,0.49614750463377466
2002-05-01,0.4471777958423483,0.4131874938228334,0.588214122970405,0.423640623285474,0.4657844912720182,0.4534186997809257
2002-06-01,0.4778104390983969,0.4151784409864829,0.5701667502205781,0.4055932505356472,0.4477371185221914,0.44770417058781653
2002-07-01,0.4155512049710154,0.4617812535028237,0.5440733188015778,0.3794998191166471,0.4216436871031913,0.4476085715344198
2002-08-01,0.4056445696377303,0.6653773125086031,0.512100744234679,0.3475272445497482,0.33707411508710755,0.4311000469670313
2002-09-01,0.4244159035274705,0.7153802488513648,0.4986665670296336,0.3340930673447028,0.3236399378820621,0.36387114384015445
2002-10-01,0.389880312354122,0.6875659948034494,0.4849717807807148,0.32039828109578394,0.3099451516331433,0.33015953000848947
2002-11-01,0.3941031334804621,0.3339059115271664,0.4891946019070548,0.32462110222212404,0.3141679727594834,0.35439917871757565
2002-12-01,0.42180355668011305,0.34763678476673593,0.5168950251067058,0.3523215254217751,0.3944653934083191,0.3820996019172266
2003-01-01,0.4334877415955065,0.3935675641690301,0.5167369411750751,0.3863372365939899,0.4155887989664371,0.42608014739063227
2003-02-01,0.4569652743245153,0.4135052146824163,0.5402144739040838,0.4098147693229988,0.43906633169544573,0.44955768011964103
2003-03-01,0.4686586880034837,0.4194569744127493,0.5519078875830523,0.4215081830019671,0.4507597453744143,0.46125109379860946
2003-04-01,0.4706351304551188,0.4456808429435111,0.5538843300346874,0.4234846254536022,0.4527361878260494,0.4632275362502446
2003-05-01,0.4654554925390597,0.4131874938228334,0.5487046921186283,0.4183049875375432,0.4475565499099903,0.45804789833418547
2003-06-01,0.4474081197892329,0.4163785474866265,0.5306573193688013,0.4002576147877163,0.4295091771601634,0.44000052558435865
2003-07-01,0.4213146883702328,0.5405047797418139,0.5045638879498013,0.3741641833687162,0.40341574574116335,0.41390709416535854
2003-08-01,0.3893421138033337,0.6825596582929139,0.4725913133829024,0.3421916088018173,0.35826317098206073,0.3819345195984597
2003-09-01,0.3759079365982885,0.839844824696216,0.4591571361778571,0.32875743159677195,0.3255269492884859,0.3685003423934143
2003-10-01,0.3622131503493695,0.4875350357548808,0.4454623499289381,0.31506264534785305,0.3262439532797884,0.3548055561444954
2003-11-01,0.3664359714757096,0.34399197522476244,0.4496851710552782,0.3192854664741931,0.3389736881057147,0.3590283772708354
2003-12-01,0.3941363946753606,0.3606516187399966,0.4773855942549292,0.3469858896738441,0.3418683959591343,0.3867288004704864
2004-01-01,0.4438961249632937,0.4815545736442686,0.580271201145337,0.4020576141716827,0.4290587362512932,0.4599153691708865
2004-02-01,0.44650512479390897,0.4957183391880551,0.6037487338743458,0.4255351469006915,0.5273138143260069,0.48339290189989526
2004-03-01,0.4163906892872574,0.5286213557137688,0.6154421475533143,0.4372285605796599,0.4315355284208617,0.4950863155788637
2004-04-01,0.4250419371373535,0.5204306702503121,0.6174185900049494,0.439205003031295,0.4183671317388925,0.4970627580304988
2004-05-01,0.4131874938228334,0.4869383202493905,0.6122389520888902,0.434025365115236,0.4304551055079448,0.4918831201144397
2004-06-01,0.39514012107300656,0.4950502230641382,0.5941915793390633,0.4159779923654091,0.39514012107300656,0.4738357473646128
2004-07-01,0.3877628058496979,0.4973397982022121,0.5680981479200633,0.3868265228971968,0.40771950262024337,0.44774231594561276
2004-08-01,0.33707411508710755,0.4505622684963971,0.5361255733531644,0.4230920821265763,0.3757469280533444,0.4157697413787139
2004-09-01,0.8994966968486391,0.4370163474276975,0.522691396148119,0.3423542375322203,0.3623127508482991,0.40233556417366845
2004-10-01,0.33415267550551164,0.4208391398835217,0.5089966098991999,0.3374500947566252,0.3486179645993801,0.3886407779247495
2004-11-01,0.3768443548434968,0.3446955553326544,0.5132194310255401,0.3141679727594834,0.3528407857257202,0.3928635990510897
2004-12-01,0.40454477804314776,0.4337284965690109,0.5409198542251912,0.3418683959591343,0.3805412089253712,0.42056402225074063
2005-01-01,0.4549777122689528,0.3961231786270339,0.6577393551675376,0.4015063031517646,0.4071767187040883,0.49623584433536677
2005-02-01,0.4288681787416047,0.44944694946921465,0.6812168878965463,0.4249838358807734,0.43065425143309705,0.5197133770643756
2005-03-01,0.4163906892872574,0.4695904535693897,0.6929103015755148,0.4366772495597418,0.4423476651120655,0.531406790743344
2005-04-01,0.4457951212069589,0.5160314468016584,0.6948867440271499,0.43865369201137694,0.44432410756370055,0.533383233194979
2005-05-01,0.4869454632125061,0.5046970450262039,0.6897071061110908,0.4334740540953178,0.4391444696476414,0.52820359527892
2005-06-01,0.4688980904626792,0.5022379059313583,0.6716597333612639,0.41542668134549104,0.4210970968978146,0.5101562225290931
2005-07-01,0.4428046590436791,0.4435073031324009,0.6455663019422639,0.3893332499264909,0.3950036654788145,0.484062791110093
2005-08-01,0.35351317811077043,0.4150654169433176,0.6135937273753649,0.35736067535959193,0.3630310909119157,0.4520902165431941
