,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,GFDL-ESM4-r1i1p1f1,UKESM1-0-LL-r4i1p1f2
1993-01-01,5.994246351777513,5.525536297284427,6.347860807247838,6.9997398799929025,5.665210172795,6.711401530166148,5.620766098160736,5.696779888785982,5.80025149995833
1993-02-01,5.286979750697465,5.221898186590908,5.995382195952604,6.886388551330912,5.497053272468842,5.95162411451884,4.722381457350012,5.598178740032479,5.765913337807838
1993-03-01,4.961984221830837,5.029472980130689,5.96441772552647,6.219173735733883,6.287510376154968,5.7585217359218905,4.624675273317556,5.226356874606776,5.831274610057099
1993-04-01,4.899633731373371,4.8039839062005125,6.302518967158681,5.961393104121258,6.3554781426909885,5.717082373782209,5.2042021685400695,5.036397550727992,5.594170242439772
1993-05-01,4.811717618826019,4.8735725467516415,6.418865387833272,5.757327634023211,6.796918971211326,5.702594941313317,5.135190737059259,5.48489980452776,5.226825975045182
1993-06-01,4.850642983397158,4.9422068159194295,6.26092588214882,5.768193347038992,7.161773055651491,5.83195234106846,5.113453877714512,5.688605918233186,5.232048865808296
1993-07-01,5.2826572689766085,5.2017777892894745,6.4596162228484415,6.050421926837075,6.826767662750058,6.092851959590478,5.30991079974898,5.491399474830629,5.532919202439121
1993-08-01,5.935833671569794,5.552736828443093,6.8270774533367415,6.317581038236416,6.6550847939619455,6.318992259827987,5.820205489261713,5.728213921783638,6.060324633675218
1993-09-01,6.0924494864507945,5.620351177117205,6.878460849354237,6.054247153157451,7.037860528701656,6.404423424062964,5.912436172102373,5.614944661166631,6.193762671338936
1993-10-01,6.1840468765140315,5.5145759539899935,6.280159902039424,6.865335837332062,7.646189943781619,6.2530615971303165,6.281294338426357,5.342654286659624,7.094538154364072
1993-11-01,6.4308638043841135,5.5085218895642605,5.7470424731194925,6.58906016013152,7.4277557568600034,5.869757704509054,6.286324301092267,5.921527078725079,6.84111795678751
1993-12-01,5.428466807343855,5.4085242620785845,5.205540258864331,6.917474929822959,7.166411982780943,6.230800875305146,5.916659732532537,5.407050055236264,6.166957930911924
1994-01-01,4.860068258668418,5.280064305998705,5.6339104526982275,6.8554071743845135,6.517422636838652,6.710085115882869,7.2239361950326755,5.3408327420164285,5.627466337819706
1994-02-01,5.019380367789365,5.114368550524712,6.5540049002423935,6.515152073665313,6.428108565075664,6.029052207724245,6.713128076760652,5.500188105788434,5.542171148075529
1994-03-01,5.058492546748749,4.8982506095146165,6.599291432871148,6.566227547095021,5.905350021104437,5.6172874703823314,7.075616494367233,5.740043025531628,5.307399595100503
1994-04-01,5.150131454202321,4.730152468904357,6.6636303816015126,6.252952635954204,5.745593419697532,5.121687938196592,6.944490863925532,5.690517469165188,5.452637309365118
1994-05-01,5.2008582144994895,4.7291743232511445,7.309109086167887,6.358344331643294,5.698431446897775,5.2456576703331175,6.586100801926477,5.890931203201108,5.650717452855024
1994-06-01,5.243996777278934,4.835556207309564,7.014734815668622,6.350835031807913,5.741183007298591,5.3010298158142,7.043139118740082,6.145774532671977,5.89967748605522
1994-07-01,5.471949124404799,5.148780805375002,6.745810581513632,6.5928344399602725,5.999264348557737,5.5470346790218095,7.938445819233428,5.552696230245993,5.862191466711128
1994-08-01,5.831484361109758,5.5262312975190095,6.882160686493237,6.789751736065749,6.281872334501553,5.8243277722471145,7.281423487454772,5.709125088160695,5.881150545737167
1994-09-01,6.014594193362497,5.611959389219031,6.8387991643961135,6.6303400079445245,6.279865737103336,5.95492368327132,7.2210496581997665,6.193463172505761,5.928463275057579
1994-10-01,6.672517613445293,5.636587443971338,7.505564446133612,6.766829641449549,5.803069751451032,5.967696492922897,6.061381456413258,5.662490530694607,5.577862304604285
1994-11-01,6.942410471635557,5.4913450305184295,6.6767387515501495,5.9139396527953405,6.632690513848115,5.900175042373058,6.163601677511468,5.867224375483018,5.495414267454908
1994-12-01,6.021220637042241,5.500725621902597,6.61244129754711,5.931530598402666,6.4272512044344525,5.552981038124889,6.017593678570062,5.309309983356576,5.672625692696361
1995-01-01,6.0646095796649835,5.648078571133852,6.537339901440821,6.6886994176964105,5.907400180247596,5.366567192826361,5.723309381554952,5.401772536526594,5.791277946731011
1995-02-01,6.081840904129517,5.582149273827605,6.076753404584513,6.250702953917352,5.45168538127662,5.413773910897088,4.985962135745716,5.2336193925316286,5.498873588979669
1995-03-01,5.6733426446634905,5.340795434453423,5.633483680924188,5.109270121605882,5.429306908815764,5.040890610748283,5.107358150928572,4.8290627530043535,5.332838493970931
1995-04-01,5.2045506211295525,5.302002811612648,5.298330401436665,5.143161968945273,5.670859404139433,4.898702969057706,4.501271850600876,5.0987290935547485,5.331550004984335
