,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-r1i1p1f1
1993-01-01,6.8362404953414595,6.743000011439682,6.745368602428907,6.793574834352253,6.713396353534293,6.873561755376476
1993-02-01,6.9970896383245575,6.903849154422782,6.906217745412008,6.954423977335353,6.874245496517391,7.034410898359574
1993-03-01,7.060013485111082,6.966773001209309,6.9691415921985325,7.017347824121878,6.937169343303919,7.097334745146101
1993-04-01,7.087174916415164,6.99393443251339,6.9963030235026125,7.044509255425957,6.964330774607999,7.124496176450181
1993-05-01,6.963484749566496,6.870244265664723,6.872612856653948,7.047962287310879,6.840640607759331,7.000806009601513
1993-06-01,6.701262599819117,6.608022115917344,6.610390706906568,6.723060134805699,6.578418458011951,6.738583859854135
1993-07-01,6.534701709686242,6.441461225784468,6.443829816773692,6.489812637690183,6.4118575678790775,6.572022969721259
1993-08-01,6.398111103245068,6.304870619343292,6.307239210332515,6.355445442255857,6.2752669614379,6.435432363280082
1993-09-01,6.349935078726275,6.256694594824501,6.259063185813725,6.307269417737068,6.227090936919107,6.387256338761292
1993-10-01,6.476567079567591,6.3833265956658165,6.38569518665504,6.449139125502987,6.353722937760424,6.513888339602607
1993-11-01,6.5553136853955385,6.462073201493765,6.4644417924829884,6.5461643032439145,6.432469543588373,6.592634945430556
1993-12-01,6.704173968468406,6.610933484566631,6.613302075555856,6.661508307479202,6.58132982666124,6.741495228503423
1994-01-01,6.703584688201933,6.825014513735968,6.6935559449890265,6.7720101414617835,6.783008169440269,6.7730595556115585
1994-02-01,6.8644338311850275,6.985863656719066,6.8544050879721246,6.980893234565394,6.943857312423368,6.9339086985946565
1994-03-01,6.927357677971558,7.048787503505593,6.917328934758652,7.027694103029348,7.0067811592098925,6.996832545381184
1994-04-01,6.954519109275638,7.075948934809673,6.944490366062733,7.05696384297358,7.033942590513973,7.023993976685265
1994-05-01,6.830828942426969,6.9522587679610055,6.820800199214065,6.8406851755259215,6.910252423665308,6.900303809836597
1994-06-01,6.56860679267959,6.690036618213626,6.558578049466687,6.578463025778543,6.648030273917928,6.6380816600892185
1994-07-01,6.402045902546713,6.523475728080751,6.3920171593338075,6.4119021356456685,6.481469383785052,6.471520769956343
1994-08-01,6.265455296105538,6.386885121639574,6.255426552892632,6.27531152920449,6.344878777343875,6.334930163515166
1994-09-01,6.2172792715867455,6.338709097120786,6.207250528373843,6.2271355046857,6.296702752825085,6.2867541389963755
1994-10-01,6.343911272428062,6.465341097962098,6.333882529215157,6.3537675055270135,6.423334753666401,6.413386139837691
1994-11-01,6.42265787825601,6.544087703790049,6.412629135043106,6.432514111354964,6.5020813594943485,6.492132745665639
1994-12-01,6.5715181613288784,6.692947986862914,6.561489418115975,6.581374394427831,6.650941642567218,6.640993028738507
1995-01-01,6.871982353496812,6.897313314934893,6.6595014206076435,6.695899713864456,6.824883364341755,6.796963116738693
1995-02-01,7.03283149647991,7.058162457917987,6.82035056359074,6.856748856847553,6.985732507324853,6.957812259721791
1995-03-01,7.095755343266437,7.121086304704517,6.883274410377267,6.919672703634079,7.04865635411138,7.020736106508318
1995-04-01,7.12291677457052,7.148247736008598,6.910435841681348,6.946834134938161,7.0758177854154605,7.047897537812398
1995-05-01,6.999226607721852,7.02455756915993,6.78674567483268,6.823143968089495,6.952127618566793,6.924207370963732
1995-06-01,6.737004457974473,6.762335419412551,6.5245235250853,6.5609218183421145,6.689905468819412,6.661985221216353
1995-07-01,6.570443567841598,6.595774529279674,6.3579626349524245,6.526994280342338,6.523344578686537,6.495424331083477
1995-08-01,6.4338529614004205,6.4591839228384975,6.221372028511249,6.257770321768062,6.386753972245362,6.358833724642301
1995-09-01,6.38567693688163,6.411007898319707,6.166115513950786,6.209594297249272,6.220773743215108,6.3106577001235085
1995-10-01,6.5123089377229455,6.537639899161023,6.299828004833772,6.336226298090588,6.465209948567886,6.437289700964826
1995-11-01,6.591055543550893,6.616386504988973,6.3785746106617225,6.414972903918536,6.543956554395834,6.516036306792774
1995-12-01,6.739915826623761,6.765246788061839,6.527434893734589,6.5638331869914035,6.692816837468702,6.664896589865641
1996-01-01,6.797150839076374,6.8547239943054725,6.6829838800680434,6.669693501763103,6.8284372315577615,6.810936442630473
1996-02-01,6.957999982059473,7.015573137288572,6.8438330230511415,6.830542644746197,6.989286374540859,6.97178558561357
1996-03-01,7.0209238288460005,7.078496984075098,6.906756869837668,6.8934664915327275,7.052210221327387,7.034709432400097
1996-04-01,7.04808526015008,7.105658415379177,6.933918301141747,6.920627922836808,7.079371652631467,7.061870863704177
1996-05-01,6.924395093301412,6.981968248530513,6.81022813429308,6.796937755988138,6.955681485782798,6.938180696855509
1996-06-01,6.662172943554032,6.7197460987831334,6.548005984545702,6.534715606240759,6.693459336035419,6.675958547108131
1996-07-01,6.495612053421159,6.553185208650258,6.381445094412826,6.368154716107885,6.526898445902544,6.509397656975255
1996-08-01,6.359021446979981,6.416594602209082,6.2448544879716525,6.231564109666707,6.390307839461367,6.372807050534079
1996-09-01,6.31084542246119,6.3684185776902895,6.196678463452859,6.183388085147916,6.342131814942576,6.324631026015288
1996-10-01,6.437477423302506,6.4950505785316075,6.323310464294175,6.310020085989232,6.468763815783893,6.451263026856604
1996-11-01,6.5162240291304565,6.573797184359553,6.4020570701221216,6.388766691817181,6.5475104216118405,6.530009632684552
1996-12-01,6.665084312203323,6.7226574674324215,6.55091735319499,6.537626974890047,6.69637070468471,6.678869915757419
1997-01-01,6.72922604592371,6.692110597507153,6.699220903095036,6.635679819437701,6.8618156927937175,6.763953435894591
1997-02-01,6.890075188906808,6.852959740490251,6.860070046078131,6.796528962420801,7.022664835776816,6.9248025788776895
1997-03-01,6.9529990356933355,6.915883587276777,6.92299389286466,6.859452809207327,7.085588682563343,6.987726425664217
1997-04-01,6.980160466997415,6.943045018580857,6.95015532416874,6.886614240511409,7.112750113867422,7.014887856968297
1997-05-01,6.856470300148747,6.819354851732191,6.826465157320072,6.7629240736627425,6.989059947018756,6.891197690119629
1997-06-01,6.594248150401367,6.557132701984812,6.564243007572693,6.500701923915362,6.726837797271378,6.628975540372251
1997-07-01,6.427687260268493,6.390571811851936,6.3976821174398175,6.334141033782487,6.560276907138501,6.462414650239376
1997-08-01,6.291096653827318,6.253981205410758,6.26109151099864,6.19755042734131,6.423686300697324,6.325824043798198
1997-09-01,6.242920629308525,6.20580518089197,6.212915486479849,6.1493744028225175,6.375510276178534,6.2776480192794075
1997-10-01,6.369552630149841,6.332437181733285,6.339547487321164,6.2760064036638346,6.502142277019849,6.404280020120723
1997-11-01,6.448299235977789,6.411183787561232,6.418294093149113,6.354753009491782,6.580888882847798,6.483026625948671
1997-12-01,6.597159519050656,6.5600440706341026,6.567154376221981,6.50361329256465,6.7297491659206665,6.631886909021539
1998-01-01,6.7754916884946095,6.7945978755271055,6.6551172523090765,6.669349416145472,6.783206937345224,6.780497521186933
1998-02-01,6.9363408314777075,6.955447018510202,6.815966395292175,6.83019855912857,6.944056080328322,6.941346664170032
1998-03-01,6.9992646782642325,7.018370865296731,6.878890242078702,6.893122405915098,7.006979927114849,7.004270510956559
1998-04-01,7.026426109568317,7.045532296600809,6.906051673382782,6.920283837219179,7.034141358418932,7.031431942260639
1998-05-01,6.902735942719648,6.921842129752142,6.782361506534116,6.796593670370513,6.910451191570263,6.9077417754119725
1998-06-01,6.640513792972268,6.659619980004764,6.5201393567867365,6.534371520623133,6.648229041822884,6.645519625664592
1998-07-01,6.473952902839392,6.493059089871888,6.353578466653861,6.367810630490258,6.481668151690007,6.478958735531718
1998-08-01,6.337362296398215,6.356468483430711,6.216987860212684,6.2312200240490805,6.345077545248832,6.342368129090541
1998-09-01,6.289186271879425,6.308292458911921,6.168811835693893,6.183043999530289,6.2969015207300405,6.294192104571751
1998-10-01,6.415818272720741,6.434924459753237,6.29544383653521,6.3096760003716055,6.423533521571356,6.420824105413066
1998-11-01,6.4945648785486885,6.5136710655811845,6.374190442363156,6.388422606199553,6.502280127399304,6.499570711241015
1998-12-01,6.643425161621558,6.662531348654054,6.523050725436024,6.53728288927242,6.6511404104721725,6.648430994313881
1999-01-01,6.8220174706366965,6.779812182650652,6.607594499423065,6.62440311836859,6.863414247042855,6.758467282253816
1999-02-01,6.982866613619793,6.940661325633752,6.7684436424061625,6.785252261351688,7.0242633900259515,6.919316425236914
1999-03-01,7.04579046040632,7.00358517242028,6.831367489192691,6.848176108138214,7.087187236812481,6.982240272023441
1999-04-01,7.0729518917104,7.030746603724363,6.858528920496771,6.8753375394422935,7.114348668116561,7.009401703327522
1999-05-01,6.949261724861732,6.907056436875693,6.734838753648104,6.751647372593628,6.990658501267892,6.885711536478854
1999-06-01,6.687039575114354,6.6448342871283135,6.4726166039007245,6.489425222846251,6.7284363515205134,6.6234893867314755
1999-07-01,6.5204786849814775,6.478273396995437,6.306055713767849,6.3228643327133724,6.561875461387639,6.4569284965986
1999-08-01,6.383888078540301,6.3416827905542625,6.1694651073266735,6.186273726272197,6.425284854946463,6.320337890157424
1999-09-01,6.335712054021513,6.2935067660354695,6.1212890828078805,6.1380977017534075,6.37710883042767,6.272161865638632
1999-10-01,6.462344054862826,6.420138766876786,6.247921083649198,6.264729702594721,6.5037408312689875,6.398793866479949
1999-11-01,6.541090660690775,6.498885372704732,6.3266676894771425,6.34347630842267,6.582487437096934,6.477540472307896
1999-12-01,6.689950943763642,6.6477456557776025,6.475527972550013,6.492336591495537,6.731347720169803,6.626400755380764
2000-01-01,6.785840552554275,6.812588596542603,6.626126374461932,6.666782431052271,6.753129127342673,6.773586878585194
2000-02-01,6.946689695537372,6.9734377395257,6.786975517445028,6.827631574035369,6.913978270325768,6.934436021568292
2000-03-01,7.009613542323897,7.036361586312228,6.8498993642315575,6.890555420821896,6.976902117112298,6.997359868354819
2000-04-01,7.036774973627981,7.0635230176163075,6.8770607955356375,6.917716852125976,7.0040635484163785,7.0245212996588995
2000-05-01,6.913084806779313,6.9398328507676394,6.7533706286869695,6.7940266852773075,6.8803733815677095,6.900831132810231
2000-06-01,6.650862657031933,6.677610701020262,6.491148478939589,6.531804535529933,6.618151231820331,6.638608983062853
2000-07-01,6.4843017668990575,6.5110498108873855,6.324587588806715,6.365243645397055,6.451590341687456,6.4720480929299775
2000-08-01,6.347711160457883,6.374459204446207,6.1879969823655365,6.228653038955878,6.314999735246277,6.3354574864888
2000-09-01,6.29953513593909,6.326283179927418,6.139820957846748,6.180477014437085,6.266823710727488,6.28728146197001
2000-10-01,6.426167136780408,6.4529151807687315,6.266452958688062,6.307109015278402,6.487792719950585,6.413913462811325
2000-11-01,6.5049137426083545,6.531661786596682,6.345199564516013,6.385855621106352,6.472202317396751,6.492660068639274
2000-12-01,6.653774025681223,6.680522069669548,6.494059847588879,6.534715904179218,6.6210626004696165,6.641520351712141
2001-01-01,6.80309169565562,6.799204504688365,6.654358747663461,6.6956203217329655,6.7942835388616505,6.784414218096321
2001-02-01,6.963940838638719,6.9600536476714625,6.815207890646557,6.8564694647160636,6.9551326818447485,6.945263361079419
2001-03-01,7.026864685425244,7.0229774944579875,6.878131737433085,6.91939331150259,7.018056528631276,7.008187207865947
2001-04-01,7.054026116729325,7.05013892576207,6.905293168737166,6.946554742806669,7.045217959935358,7.035348639170028
2001-05-01,6.930335949880657,6.926448758913403,6.7816030018885005,6.822864575958004,6.921527793086688,6.91165847232136
2001-06-01,6.668113800133279,6.664226609166024,6.51938085214112,6.5606424262106255,6.659305643339311,6.649436322573981
2001-07-01,6.501552910000403,6.497665719033147,6.352819962008244,6.394081536077747,6.492744753206434,6.482875432441106
2001-08-01,6.364962303559227,6.361075112591973,6.216229355567068,6.257490929636573,6.356154146765259,6.346284825999929
2001-09-01,6.3167862790404365,6.312899088073182,6.168053331048276,6.209314905117783,6.307978122246468,6.298108801481138
2001-10-01,6.443418279881753,6.439531088914497,6.294685331889593,6.335946905959097,6.434610123087782,6.424740802322454
2001-11-01,6.522164885709699,6.5182776947424435,6.37343193771754,6.414693511787046,6.513356728915732,6.503487408150402
2001-12-01,6.671025168782568,6.667137977815313,6.522292220790408,6.563553794859914,6.662217011988598,6.6523476912232695
2002-01-01,6.749107676185048,6.79154337238081,6.671365665331676,6.651896430637352,6.803675477477713,6.797061446543793
2002-02-01,6.909956819168142,6.952392515363909,6.832214808314773,6.812745573620449,6.9645246204608116,6.957910589526892
2002-03-01,6.972880665954674,7.015316362150433,6.8951386551013005,6.875669420406978,7.027448467247338,7.020834436313419
2002-04-01,7.000042097258753,7.042477793454517,6.9223000864053805,6.902830851711057,7.054609898551417,7.0479958676175
2002-05-01,6.876351930410085,6.918787626605848,6.798609919556714,6.77914068486239,6.930919731702751,6.924305700768832
2002-06-01,6.614129780662706,6.65656547685847,6.536387769809336,6.516918535115013,6.668697581955372,6.586689144355013
2002-07-01,6.447568890529832,6.490004586725594,6.3698268796764586,6.350357644982138,6.502136691822496,6.495522660888577
2002-08-01,6.3109782840886535,6.353413980284418,6.233236273235281,6.2137670385409605,6.365546085381318,6.358932054447401
2002-09-01,6.262802259569862,6.3052379557656275,6.185060248716493,6.165591014022168,6.317370060862528,6.31075602992861
2002-10-01,6.3894342604111785,6.431869956606943,6.311692249557807,6.292223014863484,6.444002061703844,6.437388030769926
2002-11-01,6.468180866239128,6.510616562434891,6.3904388553857565,6.370969620691433,6.5227486675317925,6.516134636597874
2002-12-01,6.617041149311994,6.659476845507758,6.539299138458621,6.5198299037643,6.671608950604662,6.664994919670741
2003-01-01,6.7980734167694665,6.7999520403292415,6.647940297512183,6.599382476640932,6.793850581621653,6.740422290973061
2003-02-01,6.958922559752562,6.960801183312339,6.80878944049528,6.76023161962403,6.954699724604749,6.901271433956159
2003-03-01,7.021846406539093,7.023725030098866,6.871713287281808,6.823155466410557,7.017623571391277,6.964195280742687
2003-04-01,7.049007837843172,7.050886461402946,6.898874718585888,6.850316897714637,7.044785002695358,6.975505868117529
2003-05-01,6.925317670994503,6.927196294554279,6.7751845517372224,6.72662673086597,6.92109483584669,6.9500343863032334
2003-06-01,6.663095521247126,6.6649741448069015,6.5129624019898404,6.464404581118593,6.6588726860993095,6.747743742618867
2003-07-01,6.496534631114249,6.4984132546740225,6.346401511856966,6.297843690985715,6.492311795966434,6.555763450576871
2003-08-01,6.359944024673072,6.361822648232847,6.209810905415789,6.16125308454454,6.3557211895252586,6.302292898876668
2003-09-01,6.311768000154282,6.313646623714058,6.161634880896997,6.113077060025747,6.307545165006468,6.254116874357877
2003-10-01,6.438400000995598,6.440278624555372,6.288266881738314,6.239709060867064,6.434177165847784,6.380748875199193
2003-11-01,6.5171466068235455,6.519025230383321,6.367013487566262,6.318455666695013,6.512923771675732,6.459495481027141
2003-12-01,6.666006889896416,6.667885513456187,6.5158737706391285,6.4673159497678805,6.6617840547485985,6.6083557641000095
2004-01-01,6.757110366532505,6.762261023453117,6.6151260072696125,6.6028065941154255,6.746646029587732,6.739440838403332
2004-02-01,6.917959509515603,6.923110166436215,6.775975150252713,6.7636557370985235,6.9074951725708305,6.900289981386429
2004-03-01,6.9808833563021295,6.986034013222742,6.838898997039237,6.826579583885051,6.970419019357358,6.977630955344165
2004-04-01,7.0080447876062095,7.013195444526824,6.86606042834332,6.853741015189133,6.99758045066144,6.990375259477037
2004-05-01,6.884354620757543,6.889505277678157,6.742370261494652,6.730050848340464,6.873890283812772,6.866685092628369
2004-06-01,6.622132471010164,6.627283127930777,6.4801481117472735,6.4678286985930855,6.611668134065392,6.604462942880991
2004-07-01,6.455571580877288,6.460722237797903,6.313587221614398,6.301267808460209,6.445107243932518,6.437902052748115
