,UKESM1-0-LL-r1i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,IPSL-CM6A-LR-r1i1p1f1,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2
1993-01-01,3.510693342736176,3.3874396425591997,3.982911773781869,3.8443875049700047,3.9750347795925913,3.524188115180074
1993-02-01,3.8524475286508095,3.716252869180287,4.324665959696502,4.186141690884639,4.316788965507226,3.8659423010947065
1993-03-01,3.8214978155062016,3.6810619608865096,4.293716246551893,4.1551919777400315,4.28583925236262,3.860772844924064
1993-04-01,3.537154631964248,3.3785930929840373,3.9523573257436837,3.81383305693182,3.944480331554409,3.726657573160835
1993-05-01,2.7012831339824515,2.650799784465689,3.250863787453874,3.1123395186420098,3.2429867932645977,3.174425535951851
1993-06-01,2.3394040386311823,2.1917913848546213,2.811622469676875,2.673098200865012,2.8037454754875992,3.1822305704214364
1993-07-01,2.061660537662125,1.9731388039111664,2.5338789687078167,2.3953546998959534,2.526001974518542,3.067526756802484
1993-08-01,1.8927792140973008,1.7887488865197214,2.3649976451429944,2.22647337633113,2.357120650953718,2.850310350456766
1993-09-01,1.7992607882515383,1.6677976336467728,2.271479219297231,2.132954950485367,2.263602225107955,2.845898465225592
1993-10-01,1.7013640513972306,1.6199292693146117,2.173582482442923,2.03505821363106,2.165705488253648,2.4392665568411966
1993-11-01,1.9823275932572813,1.899949391496012,2.4550066623231785,2.3164823935113144,2.447129668133902,2.3424213271974956
1993-12-01,2.6794703395668016,2.567785167136724,3.1516887706124947,3.0131645018006314,3.143811776423219,2.6992905958353277
1994-01-01,3.4944923517111057,3.370820476809732,4.015309801239036,3.71831347967008,3.8315939462095634,3.4191277634534316
1994-02-01,3.83624653762574,3.699633400245068,4.357063987153669,4.060067665584713,4.173348132124197,3.760881949368065
1994-03-01,3.805296824481134,3.715385154826228,4.326114274009063,4.029117952440107,4.1423984189795915,3.729932236223459
1994-04-01,3.4639379036729223,3.3448842828457117,4.072433345694479,3.687759031631895,3.801039498171379,3.388573315415248
1994-05-01,2.7624443653831117,2.6333913054476548,3.191685605501366,2.986265493342085,3.0995459598815693,2.687079777125438
1994-06-01,2.3232030476061136,2.200599732437832,2.7676471959210813,2.547024175565086,2.660304642104571,2.247838459348439
1994-07-01,2.487051269801366,1.926755557127516,2.561034981784228,2.269280674596028,2.382561141135513,1.970094958379381
1994-08-01,2.7074705336202807,1.7827585566259423,2.3078261828573123,2.100399351031205,2.2136798175706898,1.801213634814558
1994-09-01,2.700837256713776,1.6587644967512547,2.292734707418336,2.0068809251854423,2.1201613917249267,1.7076952089687947
1994-10-01,1.6057920457425752,1.5594082761751735,2.3265577259154893,1.908984188331134,2.0222646548706185,1.609798472114487
1994-11-01,2.2983700094259643,1.8581238043312127,2.586169969146125,2.1904083682113886,2.303688834750873,2.0606524789640255
1994-12-01,3.280312382363007,2.5345466728133434,3.3067752658828984,2.887090476500705,3.0003709430401897,2.5879047602840584
1995-01-01,4.656123133316025,3.386285482727032,3.988118458322008,4.070962095895998,3.829979056863824,3.4955647115141857
1995-02-01,4.325660833397239,3.7221206678840884,4.4184827604090335,4.01026671880157,4.263314869303243,3.8447156831890084
1995-03-01,4.743269005495684,3.6930487894560615,4.3875330472644265,3.979317005656963,4.22030264027597,3.806369184284213
1995-04-01,3.8673821944825137,3.3174357905336582,4.046174126456215,3.6379580848487527,3.79942460882564,3.465010263476002
1995-05-01,3.1391175880278013,2.655933881406335,3.344680588166405,2.9364645465589416,3.09793107053583,2.747376524294998
1995-06-01,2.495411500529753,2.2444660521155257,2.9054392703894063,2.497223228781943,2.658689752758831,2.524449517184221
1995-07-01,2.18921760110804,1.903658031931885,2.627695769420348,2.3020548512370382,2.3809462517897733,2.1045314510379876
1995-08-01,2.3118145597660984,1.7258528807481694,2.4588144458555243,2.0505984042480616,2.2120649282249496,1.8776505828753123
1995-09-01,2.1212534366523674,1.6640436257649236,2.3652960200097617,1.9570799784022987,2.118546502379187,1.7841321570295487
1995-10-01,1.8872985685712576,1.5518354686058136,2.267399283155453,1.859183241547991,2.020649765524879,1.9700839537765802
1995-11-01,2.673647509004537,1.833975775205096,2.5488234630357085,2.140607421428246,2.302073945405134,2.247929998765017
1995-12-01,3.3010370180716446,2.5307607458314814,3.2455055713250256,2.8372895297175624,2.9987560536944518,2.6643417083448124
1996-01-01,3.9606896906732665,3.3475942982177216,4.05837180433313,3.729852145949197,3.805656698177129,3.3871019354783836
1996-02-01,3.8960487234379033,3.689786814371304,4.400125990247765,4.07160633186383,4.147410884091761,3.728856121393017
1996-03-01,3.8911461579359017,3.662213950727226,4.369176277103159,4.040656618719223,4.116461170947154,3.6979064082484108
1996-04-01,3.4963183299170084,3.3230506593818747,4.027817356294947,3.910316462139447,3.7751022501389446,3.3565474874401997
1996-05-01,2.7749535264542557,2.5890679207471834,3.3263238180051364,2.957627290310627,3.0736087118491344,2.691570806480373
1996-06-01,2.3357122086772573,2.193049452001309,2.887082500228138,2.558562841844203,2.6343673940721355,2.707130800113093
1996-07-01,2.0579687077081994,1.877378551806056,2.60933899925908,2.2808193408751447,2.3566238931030767,2.380776456219306
1996-08-01,1.889087384143376,1.710718887985174,2.465773126809499,2.1235736322275134,2.1877425695382544,1.9640809507941344
1996-09-01,1.7955689582976129,1.6292867359259957,2.2485555616388817,1.9999007311425256,2.094224143692492,1.7700445923506578
1996-10-01,1.697672221443305,2.094987820111618,2.285469641589496,1.9599979739160789,1.996327406838184,1.9021420565271656
1996-11-01,1.97909640132356,1.9759919036649287,2.5304666928744406,2.2019470344905057,2.277751586718438,2.120890085253872
1996-12-01,2.675778509612877,2.6725078444596515,3.1891466790427714,2.8986291427798228,2.9744336950077552,2.55587893230901
1997-01-01,3.8828275873169447,3.7554699715889983,3.9979935280492835,3.7143587717679423,3.8293062872814416,3.4463116697763474
1997-02-01,5.1220303144145145,4.428529710555224,4.339747713963917,4.0561129576825765,4.171060473196075,3.7880658556909808
1997-03-01,4.462462326254069,4.181150896973303,4.308798000819311,4.025163244537969,4.140110760051468,3.757116142546374
1997-04-01,3.794209330329368,3.657874235635296,3.9674390800111015,3.6838043237297584,3.7987518392432578,3.501365586861178
1997-05-01,2.7414224591798377,3.0416585730125387,3.2659455417212904,2.9574751806621715,3.097258300953448,3.043520229322563
1997-06-01,2.3436777845807986,2.738979718224972,2.8267042239442914,2.5881854774943642,2.658016983176449,2.5996331444782865
1997-07-01,1.9610705610400585,2.3771724190759755,2.5489607229752327,2.4067367427008186,2.3802734822073908,2.350717834346176
1997-08-01,1.7921892374752348,2.2668571415399312,2.3800793994104104,2.347310100321605,2.2113921586425684,2.5300025078876627
1997-09-01,1.6986708116294718,2.2795479222925428,2.286560973564647,2.2680476880336116,2.1178737327968045,2.365808030302359
1997-10-01,1.6007740747751642,2.090496585247971,2.188664236710339,2.2050779853192903,2.0199769959424967,2.548139916930235
