,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,CanESM5-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,GFDL-ESM4-r1i1p1f1,UKESM1-0-LL-r4i1p1f2
1993-01-01,9.835452241841034,9.947596270411783,9.7348166086608,10.102958352436724,9.859864887573837,10.199970329888037,9.467402458645834,9.861280599164738,9.693527306387228
1993-02-01,9.491215985004999,9.085931063611806,9.76212796861782,10.298832672045721,9.771479883964194,9.476264422652287,9.036539966105245,9.9206345297667,9.174905568451722
1993-03-01,8.97618558389877,8.160326763516363,9.606581100603233,10.002226832107267,9.713545115802106,9.13695950278153,8.815348994590797,9.205401198133597,9.03866888473416
1993-04-01,8.178725008239928,7.244095171359032,9.306358583804686,9.277190632018284,9.239533578670924,8.464708377303813,7.995403500996383,9.054384038905487,8.53667130115396
1993-05-01,7.455205922137788,6.57639047356074,8.827339716783467,8.479282525868719,8.96794185542585,7.976808470043366,7.251734634633618,8.209629800549669,7.8025403866453225
1993-06-01,7.2937216308105075,6.378282771768139,8.30340636621725,8.017645276128277,8.737373511210173,7.855566999092082,6.9827185690283,8.10571980611317,7.542023210471661
1993-07-01,7.35055368398875,6.4340643825338635,8.17444601441373,7.849534410272808,8.538176008505063,7.897497958695799,7.137032909499358,7.5659112237834565,7.538215665317566
1993-08-01,7.509521535625818,6.418834323570644,8.058987365122226,7.669517484224464,8.336554341789457,7.856540951446214,7.366402946742216,7.549798306118176,7.512470872393166
1993-09-01,7.539409982686176,6.568317170909933,8.040007504118147,7.4435985444796815,8.488914491442593,7.850283264078338,7.3666185729159865,7.085184182444824,7.490135091988837
1993-10-01,7.843040552521902,7.1087188000538575,8.168844931142269,7.988612484853086,8.816817186539703,8.005532365747671,7.834476101286621,7.1903446930245165,8.270966544273694
1993-11-01,8.760437244297828,7.7128669927650595,8.743722522941505,8.643783500477426,9.535463687373912,8.45853203089316,8.779161622266786,7.540947206736263,9.074824615271282
1993-12-01,9.495995447864326,8.720928354256122,8.884802718554608,9.759162775284727,10.175634530386294,9.702922172400463,9.566248946146935,8.996409514815612,9.646366487715127
1994-01-01,9.290486686260392,8.525407722600955,9.409615453040717,10.28374014212708,10.10771894728986,10.322937640293318,10.273286603451927,10.151543228063826,9.670123148814024
1994-02-01,9.306018510918026,8.486050807492532,9.723289066702906,9.805222446992431,9.757735398870308,10.110978328900027,9.6480538243301,10.200362205614264,9.098655307629992
1994-03-01,9.074254415269543,8.200713956849809,9.371160565994401,9.62220856963866,9.285826849164042,9.575438244897855,9.740441931296386,9.668814524851353,8.756018238539491
1994-04-01,8.339175259716626,7.590547167499636,8.990545133229443,9.018864551218668,8.688119066110312,8.823613443230231,9.221497690982387,9.40917823804986,8.246074068500084
1994-05-01,7.636470209942558,6.988354068518803,8.91881300367085,8.372270594529738,8.026953004391006,8.191211034937874,8.710862305558111,9.007357691363376,7.786302594650425
1994-06-01,7.4730888652973615,6.8395754329335725,8.427464227599172,8.006676459014887,7.708232464550799,7.834650400941169,8.457619018675821,8.885260464978328,7.629950709886555
1994-07-01,7.460986573602043,6.727230286665408,8.30920293055537,7.987723288249367,7.607472764595323,7.753057135015143,8.680454655437392,8.111938433856144,7.4131453612204075
1994-08-01,7.469865964528098,6.670522195164044,8.277026427126296,7.994971948200885,7.646310845824026,7.682301301035216,8.559912207487223,7.995298469689139,7.187521472205969
1994-09-01,7.4983985713415935,6.643408461195332,8.237414738956675,7.776013508540591,7.7028188242652496,7.593482168611826,8.548564132309577,7.900198796104835,7.184843060267756
1994-10-01,8.040950393466924,7.367700727119512,8.948904581211886,8.097269812818702,7.7425362252968775,7.872380193597188,8.13905991737957,7.428680419308393,7.207579018537772
1994-11-01,9.016531088152377,8.094591035761585,9.217948107899458,8.452348814292764,8.889571111795336,8.506037378663287,8.927226394397863,8.473514927161819,7.77072296445091
1994-12-01,9.590694939426193,9.141756205775241,10.416193017294669,9.471710024373053,9.952458156057547,9.180620571198547,10.328434818388832,9.494206702107844,8.54691293162943
