,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,IPSL-CM6A-LR-r1i1p1f1,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-r1i1p1f1
1993-01-01,7.015526553643228,7.021176980576388,6.770081644315448,6.791841036926723,7.0578673619905326,6.943602707312973
1993-02-01,7.166954963917125,7.172605390850288,6.921510054589348,6.943269447200621,7.209295772264433,7.095031117586873
1993-03-01,7.255381237153603,7.261031664086764,7.009936327825828,7.0316957204370985,7.297722045500906,7.18345739082335
1993-04-01,7.280466381869607,7.286116808802768,7.035021472541826,7.056780865153098,7.322807190216911,7.208542535539351
1993-05-01,7.093313315687428,7.098963742620588,6.847868406359647,7.012833502334763,7.1356541240347315,7.021389469357174
1993-06-01,6.864878772506303,6.870529199439466,6.619433863178528,6.775846581071744,6.907219580853611,6.792954926176051
1993-07-01,6.825101155480278,6.830751582413439,6.5796562461524974,6.756957718264871,6.8674419638275825,6.753177309150023
1993-08-01,6.8070767945918025,6.812727221524964,6.561631885264022,6.5833912778752985,6.849417602939107,6.73515294826155
1993-09-01,6.711639140671783,6.717289567604943,6.466194231344002,6.487953623955277,6.753979949019088,6.6397152943415305
1993-10-01,6.692381755308403,6.698032182241566,6.446936845980628,6.506329717264942,6.734722563655713,6.620457908978152
1993-11-01,6.6896620087559935,6.695312435689154,6.444217099428215,6.508304239746572,6.7320028171033,6.6177381624257405
1993-12-01,6.843226328550558,6.848876755483719,6.59778141922278,6.619540811834053,6.8855671368978655,6.771302482220304
1994-01-01,7.018273056531171,7.043909999141093,6.79227097348323,6.790695936803954,7.029179418174974,6.965226651386748
1994-02-01,7.169701466805072,7.195338409414992,6.943699383757132,6.946592721281692,7.180607828448875,7.116655061660648
1994-03-01,7.258127740041548,7.28376468265147,7.032125656993608,7.031884657304545,7.26903410168535,7.205081334897126
1994-04-01,7.283212884757549,7.308849827367473,7.0572108017096085,7.064899891770822,7.294119246401354,7.2301664796131275
1994-05-01,7.0960598185753705,7.1216967611852935,6.870057735527433,6.934644183592175,7.106966180219174,7.043013413430948
1994-06-01,6.867625275394249,6.893262218004174,6.64162319234631,6.706209640411056,6.878531637038053,6.814578870249828
1994-07-01,6.827847658368219,6.8534846009781445,6.601845575320282,6.666432023385028,6.838754020012026,6.774801253223799
1994-08-01,6.809823297479746,6.83546024008967,6.583821214431808,6.6484076624965525,6.8207296591235504,6.756776892335325
1994-09-01,6.7143856435597264,6.74002258616965,6.488383560511787,6.552970008576533,6.7252920052035305,6.661339238415305
1994-10-01,6.695128258196348,6.720765200806272,6.46912617514841,6.533712623213156,6.706034619840152,6.642081853051927
1994-11-01,6.692408511643938,6.71804545425386,6.466406428595997,6.530992876660744,6.703314873287742,6.639362106499515
1994-12-01,6.845972831438504,6.8716097740484265,6.619970748390562,6.684557196455308,6.856879193082307,6.7929264262940805
1995-01-01,6.9378282959184325,6.95101935201934,6.848251476728858,6.845755174578358,6.96237706647403,6.963372053295849
1995-02-01,7.089256706192331,7.102447762293239,6.999679887002758,6.997183584852254,7.11380547674793,7.1148004635697495
1995-03-01,7.177682979428807,7.190874035529717,7.088106160239234,7.0856098580887314,7.2022317499844055,7.203226736806225
1995-04-01,7.202768124144808,7.215959180245718,7.113191304955237,7.110695002804736,7.227316894700407,7.228311881522227
1995-05-01,7.015615057962631,7.028806114063539,6.9260382387730575,6.923541936622557,7.040163828518227,7.041158815340047
1995-06-01,6.78718051478151,6.80037157088242,6.697603695591937,6.6951073934414325,6.811729285337107,6.812724272158928
1995-07-01,6.7474028977554825,6.7605939538563895,6.6578260785659085,6.64060224556096,6.77195166831108,6.772946655132899
1995-08-01,6.729378536867008,6.742569592967918,6.639801717677432,6.637305415526932,6.753927307422606,6.754922294244426
1995-09-01,6.633940882946988,6.647131939047895,6.5580693309553695,6.5418677616069125,6.760365371516211,6.659484640324404
1995-10-01,6.614683497583608,6.627874553684517,6.525512502626152,6.522610376243535,6.639232268139208,6.640227254961029
1995-11-01,6.6119637510311975,6.625154807132107,6.522386931841623,6.519890629691122,6.636512521586796,6.637507508408615
1995-12-01,6.765528070825763,6.7787191269266724,6.675951251636188,6.673454949485687,6.79007684138136,6.7910718282031795
1996-01-01,6.950456468935263,6.958859401084621,6.818742705956968,6.8135597158759476,6.958943070422751,6.9331217920240595
1996-02-01,7.101884879209162,7.110287811358521,6.9701711162308655,6.964988126149849,7.1103714806966485,7.084550202297959
1996-03-01,7.1903111524456405,7.198714084594999,7.058597389467344,7.053414399386326,7.198797753933126,7.172976475534437
1996-04-01,7.21539629716164,7.223799229311001,7.083682534183347,7.078499544102327,7.223882898649129,7.198061620250438
1996-05-01,7.02824323097946,7.036646163128822,6.896529468001168,6.891346477920147,7.036729832466949,7.010908554068259
1996-06-01,6.799808687798341,6.808211619947702,6.668094924820046,6.662911934739029,6.808295289285829,6.782474010887138
1996-07-01,6.760031070772313,6.768434002921673,6.628317307794018,6.623134317712999,6.768517672259799,6.7426963938611095
1996-08-01,6.74200670988384,6.750409642033199,6.6102929469055445,6.605109956824527,6.7504933113713275,6.724672032972635
1996-09-01,6.646569055963818,6.65497198811318,6.514855292985523,6.509672302904503,6.655055657451307,6.629234379052615
1996-10-01,6.6273116706004425,6.6357146027498,6.4955979076221455,6.490414917541129,6.6357982720879285,6.609976993689238
1996-11-01,6.624591924048032,6.632994856197389,6.492878161069733,6.487695170988716,6.633078525535518,6.607257247136826
1996-12-01,6.778156243842592,6.786559175991954,6.646442480864298,6.6412594907832805,6.786642845330082,6.760821566931391
1997-01-01,6.96137476237482,6.999346286498685,6.802605020510002,6.837707180346207,6.927778413265486,6.943713995930962
1997-02-01,7.1128031726487215,7.1507746967725865,6.9540334307839045,6.9891355906201085,7.079206823539387,7.095142406204862
1997-03-01,7.2012294458852,7.239200970009063,7.042459704020381,7.0775618638565865,7.167633096775862,7.183568679441339
1997-04-01,7.2263145906011985,7.264286114725063,7.067544848736382,7.1026470085725855,7.192718241491862,7.208653824157341
1997-05-01,7.039161524419023,7.077133048542883,6.880391782554202,6.91549394239041,7.005565175309684,7.021500757975161
1997-06-01,6.8107269812379005,6.848698505361765,6.651957239373084,6.687059399209289,6.777130632128563,6.793066214794041
1997-07-01,6.770949364211871,6.808920888335736,6.612179622347053,6.64728178218326,6.737353015102537,6.753288597768012
1997-08-01,6.752925003323399,6.790896527447263,6.594155261458581,6.629257421294786,6.7193286542140624,6.735264236879538
1997-09-01,6.657487349403378,6.695458873527241,6.498717607538557,6.533819767374767,6.6238910002940425,6.639826582959518
1997-10-01,6.638229964040001,6.676201488163862,6.4794602221751845,6.514562382011388,6.604633614930664,6.620569197596141
1997-11-01,6.635510217487589,6.673481741611452,6.476740475622772,6.511842635458976,6.601913868378253,6.617849451043728
1997-12-01,6.789074537282152,6.827046061406017,6.630304795417335,6.665406955253541,6.755478188172817,6.771413770838293
1998-01-01,6.949573618795728,6.939630508751428,6.799382618252077,6.831012114834628,6.9573744319749204,6.917233910541493
1998-02-01,7.101002029069628,7.091058919025327,6.950811028525977,6.982440525108527,7.10880284224882,7.068662320815393
1998-03-01,7.189428302306104,7.1794851922618035,7.039237301762454,7.070866798345006,7.197229115485295,7.15708859405187
1998-04-01,7.2145134470221075,7.204570336977806,7.0643224464784575,7.095951943061007,7.222314260201298,7.1821737387678715
1998-05-01,7.027360380839927,7.017417270795625,6.877169380296277,6.908798876878829,7.035161194019118,6.995020672585693
1998-06-01,6.798925837658807,6.788982727614505,6.648734837115157,6.680364333697707,6.806726650838,6.766586129404572
1998-07-01,6.7591482206327775,6.749205110588478,6.6089572200891284,6.640586716671677,6.766949033811969,6.726808512378543
1998-08-01,6.741123859744303,6.7311807497000045,6.590932859200652,6.622562355783206,6.748924672923496,6.708784151490069
1998-09-01,6.6456862058242825,6.635743095779983,6.4954952052806325,6.527124701863186,6.6534870190034745,6.613346497570049
1998-10-01,6.626428820460906,6.6164857104166055,6.476237819917254,6.507867316499808,6.634229633640097,6.594089112206671
1998-11-01,6.623709073908496,6.613765963864196,6.473518073364843,6.505147569947398,6.631509887087687,6.59136936565426
1998-12-01,6.777273393703059,6.767330283658758,6.62708239315941,6.6587118897419595,6.785074206882252,6.7449336854488235
